gt_corner_angle,variant,normal_affinity,mean_recovered_deg,mean_abs_error_deg
30,C3,hard,29.879807258396692,0.14611186447305044
30,C3,soft,30.042506331205722,0.06222729853782525
30,C3,adaptive,30.042506331205722,0.06222729853782525
45,C3,hard,44.395828284508454,0.6041717154915389
45,C3,soft,44.839390680876775,0.2381024660171974
45,C3,adaptive,45.044605509215465,0.058673642676583884
60,C3,hard,59.48255060761615,1.9720298794366258
60,C3,soft,60.048733650586655,0.05251477368482682
60,C3,adaptive,60.048733650586655,0.05251477368482682
75,C3,hard,74.047194629344,2.566458165794933
75,C3,soft,75.2632814467756,0.9662273022705478
75,C3,adaptive,73.9182457201617,1.1301522271567337
90,C3,hard,87.38018459758949,3.6384935790027244
90,C3,soft,86.9836682025081,3.0394216774380025
90,C3,adaptive,89.36486750634944,0.7204490441682025
105,C3,hard,102.67089739540445,2.68396172265694
105,C3,soft,104.44647322665958,0.965683042359035
105,C3,adaptive,104.31351626003661,0.768471868427909
120,C3,hard,121.03447589693637,3.6395643197616607
120,C3,soft,120.03651617023687,0.05141769004576417
120,C3,adaptive,120.5615434965262,0.5699483829912083
135,C3,hard,135.45422407751926,0.495171720151194
135,C3,soft,134.99843911560205,0.05242549133853345
135,C3,adaptive,135.02678810240164,0.058481494471982386
150,C3,hard,150.84347822503918,0.8693019117993401
150,C3,soft,150.02338310181074,0.05091049434420256
150,C3,adaptive,150.02338310181074,0.05091049434420256
