variant,normal_affinity,mean_abs_corner_error_deg,median_abs_corner_error_deg,mean_leakage,n_cells
C0,hard,90.0,90.0,0.18169873904836883,45
C0,soft,90.0,90.0,0.18169873904836883,45
C0,adaptive,90.0,90.0,0.18169873904836883,45
C1,hard,68.16204560653316,60.0,0.14767789541752888,45
C1,soft,88.00058641700653,90.0,0.17950411430169902,45
C1,adaptive,90.0,90.0,0.18169873904836883,45
C2,hard,68.16204560653316,60.0,0.14767789541752888,45
C2,soft,88.00058641700653,90.0,0.17950411430169902,45
C2,adaptive,90.0,90.0,0.18169873904836883,45
C3,hard,1.8461405420631118,1.1270562890992721,0.07293346784032206,45
C3,soft,0.608770026226215,0.06674498384694516,0.07266513017804976,45
C3,adaptive,0.3857588029399416,0.06446501249518377,0.07144247257658351,45
