roi,method,normal_affinity,N_budget,N_spawn,N_GT_evaluation_only,observable_local_spacing,pred_to_gt_mean,gt_to_pred_mean,symmetric_chamfer,equal_cardinality_count,equal_cardinality_pred_to_gt,equal_cardinality_gt_to_pred,equal_cardinality_chamfer,normal_angular_error,appearance_rmse,boundary_seam_error,runtime_s
roi_B_junction,C0,hard,53,53,53,0.01677585877025532,0.04073945664226624,0.08312762443568988,0.061933540538978066,53,0.04073945664226624,0.08312762443568988,0.061933540538978066,19.503082275390625,1.6780332340387918,1.680804441212129,2.5904037952423096
roi_B_junction,C1,hard,53,53,53,0.01677585877025532,0.045402941733106335,0.03962575059739719,0.042514346165251765,53,0.045402941733106335,0.03962575059739719,0.042514346165251765,29.71688461303711,1.6805650950995425,1.6827150749997157,2.5339648723602295
roi_B_junction,C2,hard,53,53,53,0.01677585877025532,0.045402941733106335,0.03962575059739719,0.042514346165251765,53,0.045402941733106335,0.03962575059739719,0.042514346165251765,29.71688461303711,1.6807671305137357,1.68291685230725,2.554664134979248
roi_B_junction,C3,hard,53,53,53,0.01677585877025532,0.0404981910796471,0.03748803476167607,0.038993112920661585,53,0.0404981910796471,0.03748803476167607,0.038993112920661585,26.552024841308594,1.6469345948624166,1.6488717615409982,2.6139285564422607
roi_C_layered,C0,soft,45,45,69,0.003800127218144841,0.009989341235944485,0.01814833069541946,0.014068835965681972,45,0.010420463594513282,0.018456902300185114,0.014438682947349197,44.81156539916992,0.2297989383761093,0.13212392530381065,2.639193058013916
roi_C_layered,C1,soft,45,45,69,0.003800127218144841,0.009989341235944485,0.01814833069541946,0.014068835965681972,45,0.01073441054308347,0.019077348065628642,0.014905879304356056,44.81156539916992,0.23114243907161294,0.1336075438497344,2.5213143825531006
roi_C_layered,C2,soft,45,45,69,0.003800127218144841,0.009989341235944485,0.01814833069541946,0.014068835965681972,45,0.010506154435614916,0.01721532918304007,0.013860741809327493,44.81156539916992,0.23573751440971924,0.14993616922072223,2.559390068054199
roi_C_layered,C3,soft,45,45,69,0.003800127218144841,0.010447090102054666,0.01536992764732476,0.012908508874689712,45,0.011406856196743939,0.016553056476876375,0.013979956336810158,48.63441848754883,0.22728324540187433,0.1684612043397865,2.5842652320861816
roi_D_curved_v2,C0,hard,47,47,160,0.015144802936531185,0.025788129545580678,0.034602249733602965,0.03019518963959182,47,0.0346536325012714,0.03376350950762578,0.03420857100444859,50.1574821472168,1.265022920680547,1.1887667680735328,2.662675380706787
roi_D_curved_v2,C1,hard,47,47,160,0.015144802936531185,0.035128399768726386,0.039924543899683966,0.037526471834205176,47,0.04554416779069567,0.03723482943463199,0.04138949861266383,61.657630920410156,1.2365255631092054,1.2643692071626844,2.545550584793091
roi_D_curved_v2,C2,hard,47,47,160,0.015144802936531185,0.035128399768726386,0.039924543899683966,0.037526471834205176,47,0.04404291370442668,0.03719837862074513,0.040620646162585906,61.657630920410156,1.2485141757010982,1.2763124857830968,2.5738914012908936
roi_D_curved_v2,C3,hard,47,47,160,0.015144802936531185,0.035128399768726386,0.039924543899683966,0.037526471834205176,47,0.043732459519235725,0.04199207873389884,0.04286226912656728,61.657630920410156,1.2485141757010982,1.2763124857830968,2.5649290084838867
