roi,method,component,support_gaussians,robust_spacing,observable_support_area,boundary_density,estimated_missing_surface_area,raw_predicted_count,spawned_count,resulting_newborn_density,density_ratio_newborn_boundary
roi_B_junction,C0,0,78,0.01677585877025532,0.12034560493948901,648.1333492753573,0.0817062378008459,52.95653756255106,53,648.6652846406213,1.000820719016941
roi_B_junction,C1,0,3,0.0405582868619353,0.004273769462731701,701.9564405990361,0.0031425476077248425,2.2059315331315466,2,636.4263170058925,0.9066464529661963
roi_B_junction,C1,1,15,0.04853240030151294,0.049185552191468994,304.96760393393896,0.015712738038624212,4.791876070880885,5,318.2131585029463,1.0434326610372575
roi_B_junction,C1,2,57,0.015187590374270456,0.054094447786969035,1053.7125773882267,0.059708404546772,62.91549684671804,63,1055.1278413518746,1.001343121448883
roi_B_junction,C1,3,3,0.004247938111172535,4.688222858633162e-05,63990.132091857115,0.0031425476077248425,201.09203652326224,12,3818.5579020353553,0.05967416814445481
roi_B_junction,C2,0,3,0.0405582868619353,0.004273769462731701,701.9564405990361,0.0031425476077248425,2.2059315331315466,2,636.4263170058925,0.9066464529661963
roi_B_junction,C2,1,15,0.04853240030151294,0.049185552191468994,304.96760393393896,0.015712738038624212,4.791876070880885,5,318.2131585029463,1.0434326610372575
roi_B_junction,C2,2,57,0.015187590374270456,0.054094447786969035,1053.7125773882267,0.059708404546772,62.91549684671804,63,1055.1278413518746,1.001343121448883
roi_B_junction,C2,3,3,0.004247938111172535,4.688222858633162e-05,63990.132091857115,0.0031425476077248425,201.09203652326224,12,3818.5579020353553,0.05967416814445481
roi_B_junction,C3,0,3,0.0405582868619353,0.004273769462731701,701.9564405990361,0.0031425476077248425,2.2059315331315466,2,636.4263170058925,0.9066464529661963
roi_B_junction,C3,1,15,0.04853240030151294,0.049185552191468994,304.96760393393896,0.015712738038624212,4.791876070880885,5,318.2131585029463,1.0434326610372575
roi_B_junction,C3,2,56,0.01517535673563299,0.05449484522412912,1027.6201312193916,0.058660888677530394,60.281110120249906,60,1022.828009473756,0.9953366797710071
roi_B_junction,C3,3,3,0.004247938111172535,4.688222858633162e-05,63990.132091857115,0.0031425476077248425,201.09203652326224,12,3818.5579020353553,0.05967416814445481
roi_B_junction,C3,4,1,0.010425297227755223,9.412554915718197e-05,10624.108002069468,0.0010475158692416142,11.128921728704588,4,3818.5579020353553,0.3594238595175745
roi_C_layered,C0,0,138,0.003800127218144841,0.016575299264365604,8325.641534369108,0.005463332099889833,45.48574464689479,45,8236.731572826668,0.9893209476800784
roi_C_layered,C1,0,138,0.003800127218144841,0.016575299264365604,8325.641534369108,0.005463332099889833,45.48574464689479,45,8236.731572826668,0.9893209476800784
roi_C_layered,C2,0,138,0.003800127218144841,0.016575299264365604,8325.641534369108,0.005463332099889833,45.48574464689479,45,8236.731572826668,0.9893209476800784
roi_C_layered,C3,0,136,0.0037845186616475976,0.01656763918249216,8208.773652175978,0.0053841533738044735,44.197296354160564,44,8172.129756569202,0.9955360085246031
roi_C_layered,C3,1,2,0.01042605715104698,0.00018827854340394427,10622.559341289772,7.91787260853599e-05,0.8410807164094639,1,12629.655078334223,1.1889465309214975
roi_D_curved_v2,C0,0,35,0.015144802936531185,0.04664351637229814,750.3722429637983,0.06277736839026876,47.106394726370624,47,748.6774486597556,0.9977413952609059
roi_D_curved_v2,C1,0,30,0.013058769187088181,0.024361327227808295,1231.4599988524105,0.05380917290594465,66.26384400500376,66,1226.5566712085358,0.9960182810254137
roi_D_curved_v2,C1,1,5,0.030403529951497414,0.014969941998274902,334.00263010879985,0.008968195484324109,2.9954008790941145,3,334.51545578414607,1.0015353941230318
roi_D_curved_v2,C2,0,30,0.013058769187088181,0.024361327227808295,1231.4599988524105,0.05380917290594465,66.26384400500376,66,1226.5566712085358,0.9960182810254137
roi_D_curved_v2,C2,1,5,0.030403529951497414,0.014969941998274902,334.00263010879985,0.008968195484324109,2.9954008790941145,3,334.51545578414607,1.0015353941230318
roi_D_curved_v2,C3,0,30,0.013058769187088181,0.024361327227808295,1231.4599988524105,0.05380917290594465,66.26384400500376,66,1226.5566712085358,0.9960182810254137
roi_D_curved_v2,C3,1,5,0.030403529951497414,0.014969941998274902,334.00263010879985,0.008968195484324109,2.9954008790941145,3,334.51545578414607,1.0015353941230318
roi_D_curved_legacy,C0,0,43,0.08287360833917247,1.0587976437729218,40.612103977464194,0.752722086819099,30.56962765603108,31,41.18385861507237,1.0140784293747855
roi_D_curved_legacy,C1,0,42,0.08287360833917247,1.104636320037396,38.021563512032756,0.7352169220093525,27.95409689529983,28,38.083998289206704,1.0016420886309472
roi_D_curved_legacy,C1,1,1,0.010424963801657049,9.411952853023162e-05,10624.787603762756,0.01750516480974649,185.9886580724185,4,228.50398973524022,0.021506687781157698
roi_D_curved_legacy,C2,0,42,0.08287360833917247,1.104636320037396,38.021563512032756,0.7352169220093525,27.95409689529983,28,38.083998289206704,1.0016420886309472
roi_D_curved_legacy,C2,1,1,0.010424963801657049,9.411952853023162e-05,10624.787603762756,0.01750516480974649,185.9886580724185,4,228.50398973524022,0.021506687781157698
roi_D_curved_legacy,C3,0,35,0.08197068649278495,0.9965067764877178,35.12269141145312,0.6126807683411272,21.518997560177404,22,35.90776981553775,1.0223524557069856
roi_D_curved_legacy,C3,1,1,0.010424963801657049,9.411952853023162e-05,10624.787603762756,0.01750516480974649,185.9886580724185,4,228.50398973524022,0.021506687781157698
roi_D_curved_legacy,C3,2,3,0.0919392886130896,0.021961103792015536,136.60515557012752,0.052515494429239466,7.173887286348423,7,133.29399401222346,0.9757610791182457
roi_D_curved_legacy,C3,3,2,0.010424963801657049,0.00018823905706046325,10624.787603762756,0.03501032961949298,371.977316144837,8,228.50398973524022,0.021506687781157698
roi_D_curved_legacy,C3,4,1,0.010424963801657049,9.411952853023162e-05,10624.787603762756,0.01750516480974649,185.9886580724185,4,228.50398973524022,0.021506687781157698
roi_D_curved_legacy,C3,5,1,0.010424963801657049,9.411952853023162e-05,10624.787603762756,0.01750516480974649,185.9886580724185,4,228.50398973524022,0.021506687781157698
