roi,primary,method,normal_affinity,N_GT_removed,N_spawn_old,N_spawn_new,spawn_count_ratio,reliable_boundary_gaussians,observable_support_area,boundary_density,estimated_missing_surface_area,estimated_spawn_density,resulting_newborn_density,density_ratio_newborn_boundary,chamfer_distance,normal_angular_error,appearance_rmse,boundary_seam_error,runtime_s
roi_B_junction,True,C0,hard,53,1024,53,1.0,78,0.12034560493948901,648.1333492753573,0.0817062378008459,648.1333492753573,648.6652846406213,1.000820719016941,0.061933540538978066,19.503082275390625,1.6780332340387918,1.680804441212129,3.04457688331604
roi_B_junction,True,C1,hard,53,1024,82,1.5471698113207548,78,0.10760065166975606,724.902672888959,0.0817062378008459,724.902672888959,1003.5953460477537,1.3844552980445208,0.0462155452301907,29.612192153930664,1.5461721618324746,1.5469088312925647,2.9646382331848145
roi_B_junction,True,C2,hard,53,1024,82,1.5471698113207548,78,0.10760065166975606,724.902672888959,0.0817062378008459,724.902672888959,1003.5953460477537,1.3844552980445208,0.0462155452301907,29.612192153930664,1.5557989030640955,1.5565310165213877,2.9609596729278564
roi_B_junction,True,C3,hard,53,1024,83,1.5660377358490567,78,0.10809517465607332,721.5863265698288,0.0817062378008459,721.5863265698288,1015.8343136824824,1.407779327681286,0.04691896195475048,30.267866134643555,1.5267583329551226,1.5276078666698059,2.9512999057769775
roi_C_layered,True,C0,soft,69,81,45,0.6521739130434783,138,0.016575299264365604,8325.641534369108,0.005463332099889833,8325.641534369108,8236.731572826668,0.9893209476800784,0.014068835965681972,44.81156539916992,0.2297989383761093,0.13212392530381065,2.9454305171966553
roi_C_layered,True,C1,soft,69,81,45,0.6521739130434783,138,0.016575299264365604,8325.641534369108,0.005463332099889833,8325.641534369108,8236.731572826668,0.9893209476800784,0.014068835965681972,44.81156539916992,0.23114243907161294,0.1336075438497344,2.8678996562957764
roi_C_layered,True,C2,soft,69,81,45,0.6521739130434783,138,0.016575299264365604,8325.641534369108,0.005463332099889833,8325.641534369108,8236.731572826668,0.9893209476800784,0.014068835965681972,44.81156539916992,0.23573751440971924,0.14993616922072223,2.9089503288269043
roi_C_layered,True,C3,soft,69,81,45,0.6521739130434783,138,0.016755917725896102,8235.896252147526,0.005463332099889834,8235.896252147526,8236.731572826666,1.000101424380974,0.012908508874689712,48.63441848754883,0.22728324540187433,0.1684612043397865,2.92948842048645
roi_D_curved_v2,True,C0,hard,160,784,47,0.29375,35,0.04664351637229814,750.3722429637983,0.06277736839026876,750.3722429637983,748.6774486597556,0.9977413952609059,0.03019518963959182,50.1574821472168,1.265022920680547,1.1887667680735328,2.8402099609375
roi_D_curved_v2,True,C1,hard,160,784,69,0.43125,35,0.039331269226083196,889.8772068303648,0.06277736839026876,889.8772068303648,1099.1222118621943,1.2351391893462862,0.03753980397033836,65.29195404052734,1.2069842196028886,1.264325130082788,2.8501851558685303
roi_D_curved_v2,True,C2,hard,160,784,69,0.43125,35,0.039331269226083196,889.8772068303648,0.06277736839026876,889.8772068303648,1099.1222118621943,1.2351391893462862,0.03753980397033836,65.29195404052734,1.2307026206642915,1.2909193961807686,2.869375228881836
roi_D_curved_v2,True,C3,hard,160,784,69,0.43125,35,0.039331269226083196,889.8772068303648,0.06277736839026876,889.8772068303648,1099.1222118621943,1.2351391893462862,0.03753980397033836,65.29195404052734,1.2307026206642915,1.2909193961807686,2.872871160507202
roi_D_curved_legacy,False,C0,hard,53,9025,31,0.5849056603773585,43,1.0587976437729218,40.612103977464194,0.752722086819099,40.612103977464194,41.18385861507237,1.0140784293747855,0.12620028276602935,37.517696380615234,1.3608539401325594,1.3042750840985102,2.5362110137939453
roi_D_curved_legacy,False,C1,hard,53,9025,32,0.6037735849056604,43,1.1047304395659263,38.923522390580345,0.752722086819099,38.923522390580345,42.512370183300504,1.0922025441764407,0.12089234181404848,29.668859481811523,1.2930678575319468,1.3397047463144134,2.4918055534362793
roi_D_curved_legacy,False,C2,hard,53,9025,32,0.6037735849056604,43,1.1047304395659263,38.923522390580345,0.752722086819099,38.923522390580345,42.512370183300504,1.0922025441764407,0.12089234181404848,29.668859481811523,1.2930678575319468,1.3397047463144134,2.5623929500579834
roi_D_curved_legacy,False,C3,hard,53,9025,49,0.9245283018867925,43,1.0189384779223845,42.20078143253261,0.7527220868190991,42.20078143253261,65.0970668431789,1.5425559582883819,0.10494704472973514,20.92112922668457,1.3359623132995393,1.2827093723625806,2.657637119293213
