roi,best_affinity,local_median_spacing,density_ratio,pca_eigenvalue_0,pca_eigenvalue_1,pca_eigenvalue_2,estimated_curvature,normal_confidence,mean_normal_dispersion,p95_normal_dispersion,semantic_purity,semantic_entropy,graph_components_C0,graph_components_C1,graph_components_C3,largest_component_fraction,boundary_support_count,estimated_missing_surface_area
ramen_sample_001,hard,0.010425659692196087,0.9999331895221674,6.544260395457968e-05,0.00014841480879113078,0.000273506942903623,0.13075707852840424,0.8692429065704346,42.338809967041016,84.6540298461914,0.345679012345679,1.9993594884872437,1,6,84,0.21810699588477367,243,0.00719668498193398
ramen_sample_002,adaptive,0.010427214848294945,0.999485854263717,2.3156126189860515e-05,6.64414546918124e-05,0.00014564167940989137,0.09987205266952515,0.9001279473304749,32.7336540222168,81.69878387451172,0.5915492957746479,1.7414910793304443,1,10,51,0.5070422535211268,284,0.005463332099889833
ramen_sample_003,hard,0.010425022657418842,1.0001165074379046,0.00028480266337282956,0.0006228814017958939,0.0012995124561712146,0.11904466897249222,0.8809553980827332,49.4832763671875,81.74134826660156,0.30978260869565216,1.5816781520843506,1,7,61,0.14130434782608695,184,0.05580136271172139
ramen_sample_004,soft,0.010425394430184854,1.000009517868193,0.0003554898430593312,0.0006022145389579237,0.0011661200551316142,0.17675146460533142,0.823248565196991,45.916500091552734,86.69011688232422,0.6530612244897959,1.2268922328948975,1,5,12,0.46938775510204084,49,0.017665025790086213
ramen_sample_005,soft,0.010425153166878427,1.0000789474053107,0.00018715985061135143,0.00046397559344768524,0.001049761543981731,0.1167694479227066,0.8832305073738098,41.477298736572266,82.98867797851562,0.5486111111111112,1.3859238624572754,1,8,31,0.3541666666666667,144,0.05572765410210533
ramen_sample_006,soft,0.010425400640305161,1.0000077308359445,0.000198369802092202,0.00039920155541040003,0.000731782172806561,0.14273601770401,0.85726398229599,59.42763900756836,86.6241226196289,0.3675675675675676,2.004786729812622,1,2,47,0.15135135135135136,185,0.017652725550299835
ramen_sample_007,soft,0.010425630987069813,0.9999414489611027,6.864963506814092e-05,0.0002402283571427688,0.0005709116230718791,0.08403133600950241,0.9159687757492065,27.77387237548828,83.2288818359375,0.9841269841269841,0.7646634578704834,1,5,7,0.753968253968254,126,0.032363307475122345
ramen_sample_008,soft,0.010424935399576007,1.0001416208998466,0.000864857982378453,0.0020566692110151052,0.004555483348667622,0.11951698362827301,0.8804829716682434,53.3211555480957,84.05613708496094,0.3493975903614458,1.8799468278884888,1,6,25,0.1566265060240964,83,0.11349444078086722
ramen_sample_009,hard,0.010425087822260294,1.0000977530559634,0.0003205588145647198,0.00078465515980497,0.001557062496431172,0.1365334391593933,0.8634665608406067,53.4631233215332,87.322998046875,0.6,1.400615930557251,1,4,22,0.4,130,0.05815067184681824
ramen_sample_010,soft,0.010426481805552008,0.9996966782149911,3.831135472864844e-05,7.969175931066275e-05,0.00013902070350013673,0.14506827294826508,0.8549317121505737,61.68318176269531,87.26637268066406,0.31539888682745826,1.6544511318206787,1,11,251,0.10946196660482375,539,0.005463332099889833
ramen_sample_011,adaptive,0.010426092412823305,0.9998086921337535,3.9662256313022226e-05,8.723473001737148e-05,0.00015713907487224787,0.134003147482872,0.8659968972206116,51.62804412841797,86.05996704101562,0.362095531587057,1.3760266304016113,1,20,181,0.15408320493066255,649,0.005463332099889833
ramen_sample_012,hard,0.010426981305005883,0.9995530151519535,1.529977271275129e-05,4.532474486040883e-05,9.117853915086016e-05,0.09221266210079193,0.9077873826026917,19.576108932495117,60.85029602050781,0.6283048211508554,1.2452391386032104,1,13,96,0.6018662519440124,643,0.005463332099889833
ramen_sample_013,hard,0.010425394430184854,1.000009517868193,8.954712393460795e-05,0.00025482094497419894,0.0006273947074078023,0.09912427514791489,0.9008757472038269,70.10791015625,87.9991226196289,0.3958333333333333,1.5151097774505615,2,16,29,0.2638888888888889,288,0.17577788940459976
