roi,method,oracle_best_affinity,oracle_chamfer
ramen_sample_001,C0,hard,0.016752446606476463
ramen_sample_001,C1,soft,0.016752446606476463
ramen_sample_001,C2,soft,0.016752446606476463
ramen_sample_001,C3,hard,0.014309251070046694
ramen_sample_002,C0,hard,0.005743885124582037
ramen_sample_002,C1,soft,0.005743885124582037
ramen_sample_002,C2,soft,0.005743885124582037
ramen_sample_002,C3,adaptive,0.005999768942558747
ramen_sample_003,C0,hard,0.0485377039858947
ramen_sample_003,C1,hard,0.03470562976407523
ramen_sample_003,C2,hard,0.03470562976407523
ramen_sample_003,C3,hard,0.03162009470795374
ramen_sample_004,C0,hard,0.02406634924845426
ramen_sample_004,C1,hard,0.02127074714886918
ramen_sample_004,C2,hard,0.02127074714886918
ramen_sample_004,C3,soft,0.03247106767383367
ramen_sample_005,C0,hard,0.035430048585461726
ramen_sample_005,C1,hard,0.03415007480076307
ramen_sample_005,C2,hard,0.03415007480076307
ramen_sample_005,C3,soft,0.04706800566665746
ramen_sample_006,C0,hard,0.028812570517213094
ramen_sample_006,C1,hard,0.023731112084984546
ramen_sample_006,C2,hard,0.023731112084984546
ramen_sample_006,C3,soft,0.024587455717221714
ramen_sample_007,C0,hard,0.06325851090937731
ramen_sample_007,C1,hard,0.06229654988312579
ramen_sample_007,C2,hard,0.06229654988312579
ramen_sample_007,C3,soft,0.05824079323279312
ramen_sample_008,C0,hard,0.058952307289504305
ramen_sample_008,C1,soft,0.058952307289504305
ramen_sample_008,C2,soft,0.058952307289504305
ramen_sample_008,C3,soft,0.05865350668097896
ramen_sample_009,C0,hard,0.06085608440401408
ramen_sample_009,C1,hard,0.045718804558887355
ramen_sample_009,C2,hard,0.045718804558887355
ramen_sample_009,C3,hard,0.04905650254486282
ramen_sample_010,C0,hard,0.01357162072870515
ramen_sample_010,C1,hard,0.012114544179289272
ramen_sample_010,C2,hard,0.012114544179289272
ramen_sample_010,C3,soft,0.014108573478377509
ramen_sample_011,C0,hard,0.013129300221959024
ramen_sample_011,C1,hard,0.012859280916988736
ramen_sample_011,C2,hard,0.012859280916988736
ramen_sample_011,C3,adaptive,0.014641622048429016
ramen_sample_012,C0,hard,0.009762331820267114
ramen_sample_012,C1,hard,0.008816857912665944
ramen_sample_012,C2,hard,0.008816857912665944
ramen_sample_012,C3,hard,0.0074395689232282436
ramen_sample_013,C0,hard,0.1487774873787664
ramen_sample_013,C1,hard,0.1272726685433582
ramen_sample_013,C2,hard,0.1272726685433582
ramen_sample_013,C3,hard,0.11546344974635066
ramen_sample_014,C0,hard,0.012694746804484
ramen_sample_014,C1,soft,0.012694746804484
ramen_sample_014,C2,soft,0.012694746804484
ramen_sample_014,C3,soft,0.01157480924055557
ramen_sample_015,C0,hard,0.029439713766078554
ramen_sample_015,C1,hard,0.029297009518299277
ramen_sample_015,C2,hard,0.029297009518299277
ramen_sample_015,C3,soft,0.021578604107453
ramen_sample_016,C0,hard,0.017503440038400465
ramen_sample_016,C1,hard,0.01692949042277177
ramen_sample_016,C2,hard,0.01692949042277177
ramen_sample_016,C3,soft,0.0126881982958586
ramen_sample_017,C0,hard,0.027776106087324948
ramen_sample_017,C1,hard,0.02333509450905534
ramen_sample_017,C2,hard,0.02333509450905534
ramen_sample_017,C3,hard,0.01974399209157432
ramen_sample_018,C0,hard,0.030038503367825924
ramen_sample_018,C1,hard,0.02559824331555435
ramen_sample_018,C2,hard,0.02559824331555435
ramen_sample_018,C3,hard,0.025803651904795243
ramen_sample_019,C0,hard,0.02826409508836495
ramen_sample_019,C1,hard,0.01880070150204552
ramen_sample_019,C2,hard,0.01880070150204552
ramen_sample_019,C3,hard,0.019333349315084635
ramen_sample_020,C0,hard,0.02488003290771707
ramen_sample_020,C1,hard,0.02488003290771707
ramen_sample_020,C2,hard,0.02488003290771707
ramen_sample_020,C3,hard,0.03533171002414576
ramen_sample_021,C0,hard,0.01977477374942374
ramen_sample_021,C1,soft,0.01977477374942374
ramen_sample_021,C2,soft,0.01977477374942374
ramen_sample_021,C3,soft,0.018459085448105792
ramen_sample_022,C0,hard,0.051992947759379814
ramen_sample_022,C1,hard,0.047739706050573816
ramen_sample_022,C2,hard,0.047739706050573816
ramen_sample_022,C3,hard,0.04768995770348756
roi_B_junction,C0,hard,0.061933540538978066
roi_B_junction,C1,hard,0.042514346165251765
roi_B_junction,C2,hard,0.042514346165251765
roi_B_junction,C3,hard,0.038993112920661585
roi_C_layered,C0,hard,0.014068835965681972
roi_C_layered,C1,soft,0.014068835965681972
roi_C_layered,C2,soft,0.014068835965681972
roi_C_layered,C3,soft,0.012908508874689712
roi_D_curved_v2,C0,hard,0.03019518963959182
roi_D_curved_v2,C1,soft,0.03019518963959182
roi_D_curved_v2,C2,soft,0.03019518963959182
roi_D_curved_v2,C3,soft,0.03019518963959182
