descriptor,group,n,spearman,spearman_p,roc_auc,pr_auc,balanced_acc,median_recoverable,median_fail,effect_size,spearman_fdr_q
pca_curvature,geometry,25,0.06933752452815364,0.7419023617068041,0.55,0.2936677701383584,0.6,0.10160065775807822,0.09356029284650677,0.1497454163918209,0.7919337908219757
normal_dispersion,geometry,25,0.06933752452815364,0.7419023617068041,0.55,0.37309523809523815,0.675,51.60139846801758,45.4588737487793,0.07998675369766714,0.7919337908219757
n_normal_clusters,geometry,25,0.0650157914671245,0.7575018868731942,0.535,0.21189931350114416,0.55,8.0,8.0,0.2767593624081935,0.7919337908219757
graph_components_C0,geometry,25,-0.10206207261596575,0.6273533601484242,0.475,0.2,0.5,1.0,1.0,-0.32444284225469494,0.7919337908219757
graph_components_C1,geometry,25,0.543980143835379,0.0049399091986032494,0.89,0.5644444444444444,0.9,15.0,5.5,1.5496776884520902,0.05011843780294628
graph_components_C3,geometry,25,0.40238985726229515,0.04613516681813775,0.79,0.5921568627450979,0.75,97.0,29.5,1.1679046303060006,0.21222176736343362
largest_component_fraction,geometry,25,-0.08320502943378438,0.6925380654170499,0.43999999999999995,0.21708513708513708,0.6,0.4964788732394366,0.3523611111111111,-0.07605979449523113,0.7919337908219757
n_cameras_see_hole,visibility,25,0.3470214576941787,0.08921457126155799,0.7499999999999999,0.5376190476190476,0.825,124.0,23.0,1.14786824551704,0.28299444088626774
visible_support_fraction,visibility,25,-0.13515512647532235,0.5194817342367933,0.44500000000000006,0.18545454545454548,0.5,1.0,1.0,-0.37959480899662373,0.7467549929653904
boundary_support_count,visibility,25,0.5269651864139676,0.006798136116501833,0.88,0.5833333333333333,0.875,539.0,164.0,1.6237795282469618,0.05011843780294628
norm_dist_center_support,visibility,25,-0.513097681508337,0.00871625005268631,0.13,0.140436203466894,0.5,4.01615380115636,7.863228699453531,-1.5606269259628662,0.05011843780294628
support_density,visibility,25,0.5685677011308599,0.0030216653791710815,0.9099999999999999,0.6226190476190476,0.925,126831.24736399917,7839.503383553028,1.9263462360642516,0.05011843780294628
projected_support_coverage,visibility,25,-0.013867504905630726,0.9475445100723412,0.49,0.2149159663865546,0.65,0.3387574337718539,0.3675575568623955,0.2472281399531388,0.9475445100723412
depth_variance,depth_layer,25,0.152542553961938,0.4666493283903968,0.61,0.44166666666666665,0.6499999999999999,1.394041628765292,1.2562681651537404,0.3126680520951071,0.7467549929653904
depth_discontinuity,depth_layer,25,0.152542553961938,0.4666493283903968,0.61,0.44166666666666665,0.6499999999999999,3.4115319142981515,3.0216342054906566,0.3273240562146119,0.7467549929653904
depth_mode_entropy,depth_layer,25,0.16641005886756877,0.42660235489103665,0.6199999999999999,0.4854545454545454,0.7,1.0772981751181392,0.9983048450805864,0.06988933851240912,0.7467549929653904
depth_min_mode_sep,depth_layer,25,0.20801257358446096,0.3183835663684244,0.65,0.46891941391941394,0.7,1.5445465586261031,1.129593654694169,0.4398099262774874,0.6657110933157965
cross_view_depth_std,depth_layer,25,0.2843385363119328,0.16834625944512763,0.705,0.44888888888888895,0.775,0.27582786957642885,0.11020502725580507,0.709449836820348,0.43021821858199283
n_semantic_ids,semantic,25,0.3379946461133214,0.09843284900391921,0.74,0.6232051282051283,0.75,9.0,5.0,0.999157978007612,0.28299444088626774
semantic_entropy,semantic,25,-0.3434054578016155,0.09282598375779318,0.255,0.16058474773308531,0.5,1.3815510557964273e-10,2.2104816892742837e-10,-5.526204211498773e-05,0.28299444088626774
semantic_purity,semantic,25,-0.11094003924504581,0.597543743596573,0.42,0.19667243511637106,0.55,0.5915492957746479,0.5743055555555556,-0.18212510563601939,0.7919337908219757
semantic_confidence,semantic,25,-0.20801257358446096,0.3183835663684244,0.35,0.18069264069264068,0.575,0.4372750520706177,0.554711639881134,-0.6153886735284676,0.6657110933157965
cross_modal_normal_sem_agreement,cross_modal,25,-0.1386750490563073,0.5085592544458085,0.4,0.3522826086956522,0.6,0.576271186440678,0.6166737528344671,-0.2680816163169674,0.7467549929653904
