roi,recover,recoverability_group,ambiguity_score,n_depth_modes,n_normal_clusters,n_semantic_ids,gt_category
ramen_sample_001,0,R2_high_support_high_ambig,4,3,8,8,C_multi_object_layered
ramen_sample_002,1,R2_high_support_high_ambig,4,3,8,7,C_multi_object_layered
ramen_sample_003,0,R2_high_support_high_ambig,4,3,8,9,C_multi_object_layered
ramen_sample_004,0,R4_low_support_high_ambig,4,3,8,4,C_multi_object_layered
ramen_sample_005,0,R2_high_support_high_ambig,4,3,8,4,C_multi_object_layered
ramen_sample_006,0,R2_high_support_high_ambig,4,3,8,8,C_multi_object_layered
ramen_sample_008,0,R2_high_support_high_ambig,4,3,8,8,C_multi_object_layered
ramen_sample_009,0,R4_low_support_high_ambig,4,3,8,6,C_multi_object_layered
ramen_sample_010,1,R2_high_support_high_ambig,4,3,8,9,C_multi_object_layered
ramen_sample_011,1,R2_high_support_high_ambig,4,3,8,12,C_multi_object_layered
ramen_sample_012,1,R2_high_support_high_ambig,4,3,7,14,C_multi_object_layered
ramen_sample_013,0,R4_low_support_high_ambig,4,3,8,4,B_multi_surface
ramen_sample_015,0,R2_high_support_high_ambig,4,3,8,9,C_multi_object_layered
ramen_sample_016,0,R2_high_support_high_ambig,4,3,8,8,C_multi_object_layered
ramen_sample_017,0,R2_high_support_high_ambig,4,3,8,7,C_multi_object_layered
ramen_sample_018,0,R2_high_support_high_ambig,4,3,8,8,C_multi_object_layered
ramen_sample_019,0,R2_high_support_high_ambig,4,3,8,8,C_multi_object_layered
ramen_sample_022,0,R2_high_support_high_ambig,4,3,7,3,B_multi_surface
roi_B_junction,0,R2_high_support_high_ambig,3,3,8,2,B_multi_surface
roi_C_layered,0,R2_high_support_high_ambig,3,3,6,2,B_multi_surface
roi_D_curved_v2,0,R4_low_support_high_ambig,3,3,7,1,B_multi_surface
ramen_sample_007,0,R4_low_support_high_ambig,3,3,7,2,B_multi_surface
ramen_sample_014,1,R4_low_support_high_ambig,3,3,8,2,B_multi_surface
ramen_sample_020,0,R4_low_support_high_ambig,3,3,6,2,B_multi_surface
ramen_sample_021,0,R2_high_support_high_ambig,3,3,8,2,B_multi_surface
