roi,gt_n_gaussians,gt_n_normal_clusters,gt_normal_dispersion,gt_depth_layer_span,gt_n_semantic_ids,gt_semantic_purity,gt_category,recoverability_group,recover,label_note
roi_B_junction,53,4,15.803244590759277,0.09066390991210938,1,1.0,B_multi_surface,R2_high_support_high_ambig,0,geometric surrogate (C1-HARD Chamfer <= 1.5x spacing); render Hole-LPIPS label unavailable (no CUDA rasterizer)
roi_C_layered,69,4,11.978801727294922,0.020494937896728516,2,0.927536231884058,B_multi_surface,R2_high_support_high_ambig,0,geometric surrogate (C1-HARD Chamfer <= 1.5x spacing); render Hole-LPIPS label unavailable (no CUDA rasterizer)
roi_D_curved_v2,160,7,22.851703643798828,0.10863018035888672,2,0.9,B_multi_surface,R4_low_support_high_ambig,0,geometric surrogate (C1-HARD Chamfer <= 1.5x spacing); render Hole-LPIPS label unavailable (no CUDA rasterizer)
ramen_sample_001,56,7,48.25357437133789,0.050812482833862305,6,0.3392857142857143,C_multi_object_layered,R2_high_support_high_ambig,0,geometric surrogate (C1-HARD Chamfer <= 1.5x spacing); render Hole-LPIPS label unavailable (no CUDA rasterizer)
ramen_sample_002,206,8,42.201759338378906,0.0406644344329834,5,0.3155339805825243,C_multi_object_layered,R2_high_support_high_ambig,1,geometric surrogate (C1-HARD Chamfer <= 1.5x spacing); render Hole-LPIPS label unavailable (no CUDA rasterizer)
ramen_sample_003,56,7,38.50377655029297,0.21316289901733398,6,0.48214285714285715,C_multi_object_layered,R2_high_support_high_ambig,0,geometric surrogate (C1-HARD Chamfer <= 1.5x spacing); render Hole-LPIPS label unavailable (no CUDA rasterizer)
ramen_sample_004,56,8,63.1031608581543,0.12567472457885742,3,0.9464285714285714,C_multi_object_layered,R4_low_support_high_ambig,0,geometric surrogate (C1-HARD Chamfer <= 1.5x spacing); render Hole-LPIPS label unavailable (no CUDA rasterizer)
ramen_sample_005,56,8,57.33218765258789,0.21139001846313477,3,0.48214285714285715,C_multi_object_layered,R2_high_support_high_ambig,0,geometric surrogate (C1-HARD Chamfer <= 1.5x spacing); render Hole-LPIPS label unavailable (no CUDA rasterizer)
ramen_sample_006,56,7,27.575105667114258,0.10916328430175781,6,0.44642857142857145,C_multi_object_layered,R2_high_support_high_ambig,0,geometric surrogate (C1-HARD Chamfer <= 1.5x spacing); render Hole-LPIPS label unavailable (no CUDA rasterizer)
ramen_sample_007,56,3,15.500984191894531,0.04825925827026367,1,1.0,B_multi_surface,R4_low_support_high_ambig,0,geometric surrogate (C1-HARD Chamfer <= 1.5x spacing); render Hole-LPIPS label unavailable (no CUDA rasterizer)
ramen_sample_008,56,8,64.2723617553711,0.2652902603149414,6,0.39285714285714285,C_multi_object_layered,R2_high_support_high_ambig,0,geometric surrogate (C1-HARD Chamfer <= 1.5x spacing); render Hole-LPIPS label unavailable (no CUDA rasterizer)
ramen_sample_009,56,8,49.91986083984375,0.20360279083251953,5,0.4107142857142857,C_multi_object_layered,R4_low_support_high_ambig,0,geometric surrogate (C1-HARD Chamfer <= 1.5x spacing); render Hole-LPIPS label unavailable (no CUDA rasterizer)
ramen_sample_010,128,8,60.401153564453125,0.06770211458206177,8,0.3125,C_multi_object_layered,R2_high_support_high_ambig,1,geometric surrogate (C1-HARD Chamfer <= 1.5x spacing); render Hole-LPIPS label unavailable (no CUDA rasterizer)
ramen_sample_011,101,8,50.167789459228516,0.07210832834243774,6,0.5346534653465347,C_multi_object_layered,R2_high_support_high_ambig,1,geometric surrogate (C1-HARD Chamfer <= 1.5x spacing); render Hole-LPIPS label unavailable (no CUDA rasterizer)
ramen_sample_012,186,3,11.85116958618164,0.05403923988342285,8,0.5860215053763441,C_multi_object_layered,R2_high_support_high_ambig,1,geometric surrogate (C1-HARD Chamfer <= 1.5x spacing); render Hole-LPIPS label unavailable (no CUDA rasterizer)
ramen_sample_013,56,8,67.30069732666016,0.3510291576385498,2,0.5892857142857143,B_multi_surface,R4_low_support_high_ambig,0,geometric surrogate (C1-HARD Chamfer <= 1.5x spacing); render Hole-LPIPS label unavailable (no CUDA rasterizer)
ramen_sample_014,95,8,54.95753860473633,0.06802403926849365,1,1.0,B_multi_surface,R4_low_support_high_ambig,1,geometric surrogate (C1-HARD Chamfer <= 1.5x spacing); render Hole-LPIPS label unavailable (no CUDA rasterizer)
ramen_sample_015,60,8,60.25531005859375,0.05781078338623047,8,0.3,C_multi_object_layered,R2_high_support_high_ambig,0,geometric surrogate (C1-HARD Chamfer <= 1.5x spacing); render Hole-LPIPS label unavailable (no CUDA rasterizer)
ramen_sample_016,177,8,54.16066360473633,0.08076655864715576,5,0.4406779661016949,C_multi_object_layered,R2_high_support_high_ambig,0,geometric surrogate (C1-HARD Chamfer <= 1.5x spacing); render Hole-LPIPS label unavailable (no CUDA rasterizer)
ramen_sample_017,56,8,44.81679916381836,0.09489178657531738,4,0.9285714285714286,C_multi_object_layered,R2_high_support_high_ambig,0,geometric surrogate (C1-HARD Chamfer <= 1.5x spacing); render Hole-LPIPS label unavailable (no CUDA rasterizer)
ramen_sample_018,56,7,33.79001235961914,0.10884952545166016,4,0.625,C_multi_object_layered,R2_high_support_high_ambig,0,geometric surrogate (C1-HARD Chamfer <= 1.5x spacing); render Hole-LPIPS label unavailable (no CUDA rasterizer)
ramen_sample_019,56,5,24.968374252319336,0.07909822463989258,6,0.5535714285714286,C_multi_object_layered,R2_high_support_high_ambig,0,geometric surrogate (C1-HARD Chamfer <= 1.5x spacing); render Hole-LPIPS label unavailable (no CUDA rasterizer)
ramen_sample_020,56,7,56.21298599243164,0.10488367080688477,1,1.0,B_multi_surface,R4_low_support_high_ambig,0,geometric surrogate (C1-HARD Chamfer <= 1.5x spacing); render Hole-LPIPS label unavailable (no CUDA rasterizer)
ramen_sample_021,56,7,37.087242126464844,0.07113933563232422,2,0.9642857142857143,B_multi_surface,R2_high_support_high_ambig,0,geometric surrogate (C1-HARD Chamfer <= 1.5x spacing); render Hole-LPIPS label unavailable (no CUDA rasterizer)
ramen_sample_022,59,8,42.351131439208984,0.05022287368774414,1,1.0,B_multi_surface,R2_high_support_high_ambig,0,geometric surrogate (C1-HARD Chamfer <= 1.5x spacing); render Hole-LPIPS label unavailable (no CUDA rasterizer)
