roi,ambiguity_score,n_depth_modes,n_normal_clusters,n_semantic_ids,cross_modal,gt_category,recover
ramen_sample_001,5,3,8,8,0.5185185185185185,C_multi_object_layered,0
ramen_sample_002,5,3,8,7,0.29577464788732394,C_multi_object_layered,1
ramen_sample_005,5,3,8,4,0.4722222222222222,C_multi_object_layered,0
ramen_sample_006,5,3,8,8,0.5837837837837838,C_multi_object_layered,0
ramen_sample_009,5,3,8,6,0.5615384615384615,C_multi_object_layered,0
ramen_sample_011,5,3,8,12,0.576271186440678,C_multi_object_layered,1
ramen_sample_012,5,3,7,14,0.4572317262830482,C_multi_object_layered,1
ramen_sample_015,5,3,8,9,0.5633333333333334,C_multi_object_layered,0
ramen_sample_016,5,3,8,8,0.5786736020806242,C_multi_object_layered,0
ramen_sample_017,5,3,8,7,0.5701492537313433,C_multi_object_layered,0
ramen_sample_019,5,3,8,8,0.4262295081967213,C_multi_object_layered,0
ramen_sample_003,4,3,8,9,0.6684782608695652,C_multi_object_layered,0
ramen_sample_004,4,3,8,4,0.6326530612244898,C_multi_object_layered,0
ramen_sample_007,4,3,7,2,0.5555555555555556,B_multi_surface,0
ramen_sample_008,4,3,8,8,0.6506024096385542,C_multi_object_layered,0
ramen_sample_010,4,3,8,9,0.6567717996289425,C_multi_object_layered,1
ramen_sample_013,4,3,8,4,0.6006944444444444,B_multi_surface,0
ramen_sample_018,4,3,8,8,0.7276785714285714,C_multi_object_layered,0
ramen_sample_022,4,3,7,3,0.8181818181818182,B_multi_surface,0
roi_B_junction,3,3,8,2,0.6923076923076923,B_multi_surface,0
roi_C_layered,3,3,6,2,0.7681159420289855,B_multi_surface,0
roi_D_curved_v2,3,3,7,1,0.6857142857142857,B_multi_surface,0
ramen_sample_014,3,3,8,2,0.9423728813559322,B_multi_surface,1
ramen_sample_020,3,3,6,2,0.7254901960784313,B_multi_surface,0
ramen_sample_021,3,3,8,2,0.8245614035087719,B_multi_surface,0
