model,n,balanced_acc,auroc,pr_auc,macro_f1
stump_support_density,25,0.925,0.9249999999999999,0.625,0.8440748440742749
stump_cross_view_depth_std,25,0.75,0.7500000000000001,0.44,0.7499999999994175
stump_n_semantic_ids,25,0.75,0.7500000000000001,0.44,0.7499999999994175
stump_normal_dispersion,25,0.675,0.6749999999999999,0.38666666666666666,0.7023809523803846
stump_depth_mode_entropy,25,0.675,0.675,0.305,0.6361746361740938
stump_graph_components_C3,25,0.625,0.625,0.28,0.6249999999994388
stump_graph_components_C1,25,0.6000000000000001,0.6,0.2533333333333333,0.5920745920740402
stump_n_cameras_see_hole,25,0.6000000000000001,0.6,0.2533333333333333,0.5920745920740402
stump_boundary_support_count,25,0.6000000000000001,0.6,0.2533333333333333,0.5920745920740402
stump_pca_curvature,25,0.55,0.55,0.22666666666666668,0.553571428570893
stump_cross_modal_normal_sem_agreement,25,0.55,0.55,0.22666666666666668,0.553571428570893
stump_n_normal_clusters,25,0.525,0.525,0.20842105263157895,0.3589743589739878
stump_depth_variance,25,0.525,0.525,0.21000000000000002,0.5257452574520328
stump_depth_discontinuity,25,0.525,0.525,0.21000000000000002,0.5257452574520328
stump_normal_entropy,25,0.5,nan,nan,0.16666666666651667
