roi,known,radius,normalized_radius_units,n_cameras_see_hole,visible_support_fraction,boundary_support_count,norm_dist_center_support,support_density,projected_support_coverage,n_depth_modes,depth_variance,depth_discontinuity,depth_mode_entropy,depth_min_mode_sep,cross_view_depth_std,n_normal_clusters,normal_dispersion,normal_entropy,pca_curvature,graph_components_C0,graph_components_C1,graph_components_C3,largest_component_fraction,n_semantic_ids,semantic_entropy,semantic_purity,semantic_confidence,cross_modal_normal_sem_agreement,recover,c0_chamfer,c1_chamfer,local_spacing,recoverability_group,label_note
roi_B_junction,True,0.16126966005697724,15.469070716528805,25,1.0,78.0,15.50485807124313,797.7695725925435,0.4237311323738156,3,1.350169883899905,3.2929074060186476,1.0882538138823292,1.3802116499881496,0.09900548488210772,8,35.064430236816406,2.072326583694641e-08,0.17195257173698839,1,4,5,0.8205128205128205,2,1.6578612669557127e-10,0.9871794871794872,0.780731201171875,0.6923076923076923,0,0.061933540538978066,0.042514346165251765,0.010425297227755223,R2_high_support_high_ambig,geometric surrogate (C1-HARD Chamfer <= 1.5x spacing); render Hole-LPIPS label unavailable (no CUDA rasterizer)
roi_C_layered,True,0.041701710023693064,3.9997584340409453,6,1.0,138.0,4.035298496169899,37501.59805779377,0.4708605755502367,3,0.4925215332360594,1.2047153741850885,1.0495914648069506,0.5467319416417542,0.05190141069190301,6,13.26580810546875,2.072326583694641e-08,0.11769204324530046,1,4,5,0.9347826086956522,2,1.6578612669557127e-10,0.9855072463768116,0.5221213698387146,0.7681159420289855,0,0.014068835965681972,0.03781800366274654,0.01042605715104698,R2_high_support_high_ambig,geometric surrogate (C1-HARD Chamfer <= 1.5x spacing); render Hole-LPIPS label unavailable (no CUDA rasterizer)
roi_D_curved_v2,True,0.14136002612911597,13.558828695646655,7,1.0,35.0,13.575974692175174,600.3914419673648,0.20534036048494983,3,0.9226574512090486,2.109821988525402,1.0913773122492723,0.35325305924511774,0.09201343986840135,7,37.04804229736328,2.072326583694641e-08,0.14841840249502108,1,2,2,0.9428571428571428,1,-0.0,1.0,0.7772961258888245,0.6857142857142857,0,0.03019518963959182,0.037526471834205176,0.01042568125184018,R4_low_support_high_ambig,geometric surrogate (C1-HARD Chamfer <= 1.5x spacing); render Hole-LPIPS label unavailable (no CUDA rasterizer)
ramen_sample_001,False,0.04786205153877131,4.590793575834579,122,1.0,243.0,4.59418001790518,45289.84092969354,0.46471929594604783,3,1.3963627343100438,3.416499459804604,1.079226595415471,1.567258358427539,0.2637607056454537,8,38.92845153808594,2.072326583694641e-08,0.09366609219726793,1,10,85,0.20164609053497942,8,2.2104816892742837e-10,0.345679012345679,0.32045578956604004,0.5185185185185185,0,0.016752446606476463,0.018242815128124933,0.010425659692196087,R2_high_support_high_ambig,geometric surrogate (C1-HARD Chamfer <= 1.5x spacing); render Hole-LPIPS label unavailable (no CUDA rasterizer)
ramen_sample_002,False,0.041701710023693064,3.9993143548310135,124,1.0,284.0,4.0430324991352125,61519.47546559428,0.4419386131214356,3,1.394041628765292,3.4115319142981515,1.0915628336876246,1.578597641199154,0.28277750278039326,8,32.99678039550781,2.072326583694641e-08,0.10160065775807822,1,11,54,0.4964788732394366,7,2.486791900433569e-10,0.5915492957746479,0.36597418785095215,0.29577464788732394,1,0.005743885124582037,0.007373839064376378,0.010427214848294945,R2_high_support_high_ambig,geometric surrogate (C1-HARD Chamfer <= 1.5x spacing); render Hole-LPIPS label unavailable (no CUDA rasterizer)
ramen_sample_003,False,0.13327462404249527,12.784108814157058,55,1.0,184.0,12.976122139842373,7874.242710906395,0.19819339931415866,3,1.6337491484789566,3.8146771201524983,0.9571172886932682,0.8598214421065711,0.23562003430572612,8,52.683692932128906,2.072326583694641e-08,0.07896854300537343,1,5,60,0.14673913043478262,9,1.9341714781149983e-10,0.30978260869565216,0.4581669867038727,0.6684782608695652,0,0.0485377039858947,0.03470562976407523,0.010425022657418842,R2_high_support_high_ambig,geometric surrogate (C1-HARD Chamfer <= 1.5x spacing); render Hole-LPIPS label unavailable (no CUDA rasterizer)
ramen_sample_004,False,0.07498634774861401,7.192662901223625,21,1.0,49.0,7.33776324359705,7066.093362163488,0.3255988605688292,3,1.0261582105277192,2.507497676217005,0.9457775317082827,1.1026045974796634,0.0882804382776674,8,50.440216064453125,2.072326583694641e-08,0.1377483215294435,1,5,12,0.6326530612244898,4,2.486791900433569e-10,0.6530612244897959,0.5722874402999878,0.6326530612244898,0,0.02406634924845426,0.02127074714886918,0.010425394430184854,R4_low_support_high_ambig,geometric surrogate (C1-HARD Chamfer <= 1.5x spacing); render Hole-LPIPS label unavailable (no CUDA rasterizer)
ramen_sample_005,False,0.1331865730264534,12.775502757081608,55,1.0,144.0,12.777323739682437,2612.7111375688346,0.3221151834324189,3,0.9836939630593888,2.408914059081109,1.007907369675842,1.1565827119086745,0.09659964866268599,8,40.83041000366211,2.072326583694641e-08,0.1420834108828517,1,5,31,0.3680555555555556,4,3.3157225339114254e-10,0.5486111111111112,0.485927939414978,0.4722222222222222,0,0.035430048585461726,0.03415007480076307,0.010425153166878427,R2_high_support_high_ambig,geometric surrogate (C1-HARD Chamfer <= 1.5x spacing); render Hole-LPIPS label unavailable (no CUDA rasterizer)
ramen_sample_006,False,0.07496023653077433,7.190154039833636,81,1.0,185.0,7.194415827526313,14691.073891029333,0.4632930976999443,3,1.2232364665157764,2.986493516376929,0.9839545016895637,1.2834232703661153,0.1688793677007811,8,48.813232421875,2.072326583694641e-08,0.07171295429720533,1,5,47,0.23243243243243245,8,2.2104816892742837e-10,0.3675675675675676,0.29374203085899353,0.5837837837837838,0,0.028812570517213094,0.023731112084984546,0.010425400640305161,R2_high_support_high_ambig,geometric surrogate (C1-HARD Chamfer <= 1.5x spacing); render Hole-LPIPS label unavailable (no CUDA rasterizer)
ramen_sample_007,False,0.10149660446998814,9.735296079044744,1,0.3333333333333333,126.0,9.774464138463404,4530.003301177283,0.5390937826072305,3,0.02096754678606318,0.0498421376929542,0.5004024282710033,0.014188312226516286,0.0,7,27.845905303955078,2.072326583694641e-08,0.13879810234164924,1,6,8,0.9206349206349206,2,1.9341714781149983e-10,0.9841269841269841,0.7705814242362976,0.5555555555555556,0,0.06325851090937731,0.06229654988312579,0.010425630987069813,R4_low_support_high_ambig,geometric surrogate (C1-HARD Chamfer <= 1.5x spacing); render Hole-LPIPS label unavailable (no CUDA rasterizer)
ramen_sample_008,False,0.19006946763604832,18.232196205626238,5,1.0,83.0,18.240507461748816,981.2798461001124,0.45518748956852867,3,0.5083912690641623,1.1867311332276866,0.9887023204853307,0.2665177669515071,0.04018187354192324,8,58.1539421081543,2.072326583694641e-08,0.08248289007365829,1,5,27,0.21686746987951808,8,2.2104816892742837e-10,0.3493975903614458,0.3118516504764557,0.6506024096385542,0,0.058952307289504305,0.08436466676526208,0.010424935399576007,R2_high_support_high_ambig,geometric surrogate (C1-HARD Chamfer <= 1.5x spacing); render Hole-LPIPS label unavailable (no CUDA rasterizer)
