descriptor,benefit_metric,pearson_r,pearson_p,spearman_r,spearman_p,n
number_of_local_gaussians,delta_C1_chamfer,0.4552442557152196,0.02221301986791613,0.3792307692307692,0.061538109613897066,25
number_of_local_gaussians,delta_C1_equal_cardinality_chamfer,0.22627957869939283,0.27674552136609537,0.2569230769230769,0.21505370359693768,25
number_of_local_gaussians,delta_C1_fscore_2x,0.0923418028595142,0.6606533380559809,0.2725889043836577,0.18740447288775836,25
number_of_local_gaussians,delta_C1_gt_to_pred,0.5183223934932251,0.007946575528441122,0.3946153846153846,0.05092417068462521,25
number_of_local_gaussians,delta_C2_chamfer,0.4552442557152196,0.02221301986791613,0.3792307692307692,0.061538109613897066,25
number_of_local_gaussians,delta_C2_equal_cardinality_chamfer,0.3490578779984704,0.08722776482347629,0.3192307692307692,0.1198372598471496,25
number_of_local_gaussians,delta_C2_fscore_2x,0.0923418028595142,0.6606533380559809,0.2725889043836577,0.18740447288775836,25
number_of_local_gaussians,delta_C2_gt_to_pred,0.5183223934932251,0.007946575528441122,0.3946153846153846,0.05092417068462521,25
number_of_local_gaussians,delta_C3_chamfer,0.6443484283522949,0.0005082221224852544,0.4707692307692308,0.017542529366882283,25
number_of_local_gaussians,delta_C3_equal_cardinality_chamfer,0.39331935034216253,0.05175893469768949,0.40692307692307694,0.04351056422815668,25
number_of_local_gaussians,delta_C3_fscore_2x,0.09729422121931328,0.6436038358313824,0.35026954181892556,0.086061531527653,25
number_of_local_gaussians,delta_C3_gt_to_pred,0.590216384387546,0.0018979017217858613,0.48538461538461536,0.013911171596886908,25
local_median_spacing,delta_C1_chamfer,-0.2043522283365383,0.3271638804387896,-0.49134286053304005,0.012620457324279867,25
local_median_spacing,delta_C1_equal_cardinality_chamfer,-0.1706109391588088,0.4148517373972233,-0.4921123873310557,0.012461213157874903,25
local_median_spacing,delta_C1_fscore_2x,-0.08332864260976101,0.6921031320478067,-0.05871028134951585,0.7804267064181241,25
local_median_spacing,delta_C1_gt_to_pred,-0.49213056173741265,0.012457472332552089,-0.7171989757506552,5.470298719004496e-05,25
local_median_spacing,delta_C2_chamfer,-0.2043522283365383,0.3271638804387896,-0.49134286053304005,0.012620457324279867,25
local_median_spacing,delta_C2_equal_cardinality_chamfer,-0.15438110243532252,0.4612307937056787,-0.4220854487116248,0.035576309440881346,25
local_median_spacing,delta_C2_fscore_2x,-0.08332864260976101,0.6921031320478067,-0.05871028134951585,0.7804267064181241,25
local_median_spacing,delta_C2_gt_to_pred,-0.49213056173741265,0.012457472332552089,-0.7171989757506552,5.470298719004496e-05,25
local_median_spacing,delta_C3_chamfer,-0.2600839219973315,0.20926599513049993,-0.3716814434415949,0.06733437553061004,25
local_median_spacing,delta_C3_equal_cardinality_chamfer,-0.2581486983273868,0.2127968785537439,-0.3951520107810745,0.05058162856026031,25
local_median_spacing,delta_C3_fscore_2x,-0.17558473264325686,0.40117298717887795,-0.25914518671281617,0.21097377287130253,25
local_median_spacing,delta_C3_gt_to_pred,-0.48638349216816384,0.013687514763784766,-0.5948442148661549,0.0017110485647314864,25
density_ratio,delta_C1_chamfer,0.20436334930765537,0.32713698382122414,0.49134286053304005,0.012620457324279867,25
density_ratio,delta_C1_equal_cardinality_chamfer,0.17061960209773494,0.4148276916966802,0.4921123873310557,0.012461213157874903,25
density_ratio,delta_C1_fscore_2x,0.08334914725131065,0.6920309955551881,0.05871028134951585,0.7804267064181241,25
