roi,policy,method,seed,N_budget,N_spawn,N_GT_evaluation_only,pred_to_gt,gt_to_pred,symmetric_chamfer,equal_cardinality_chamfer,normal_error,appearance_rmse,seam_error,runtime_s,fscore_0.5x,precision_0.5x,recall_0.5x,fscore_1.0x,precision_1.0x,recall_1.0x,fscore_2.0x,precision_2.0x,recall_2.0x
roi_B_junction,hard,C0,0,53,53,53,0.04073945664226624,0.08312762443568988,0.061933540538978066,0.061933540538978066,19.503082275390625,1.6780332340387918,1.680804441212129,3.3067877292633057,0.0,0.0,0.0,0.0,0.0,0.0,0.09533267130062784,0.3018867924528302,0.05660377358490566
roi_B_junction,hard,C1,0,53,53,53,0.045402941733106335,0.03962575059739719,0.042514346165251765,0.042514346165251765,29.71688461303711,1.6805650950995425,1.6827150749997157,3.2483508586883545,0.0,0.0,0.0,0.02515723270395807,0.018867924528301886,0.03773584905660377,0.31103487707211336,0.3018867924528302,0.32075471698113206
roi_B_junction,hard,C2,0,53,53,53,0.045402941733106335,0.03962575059739719,0.042514346165251765,0.042514346165251765,29.71688461303711,1.6807671305137357,1.68291685230725,3.271955728530884,0.0,0.0,0.0,0.02515723270395807,0.018867924528301886,0.03773584905660377,0.31103487707211336,0.3018867924528302,0.32075471698113206
roi_B_junction,hard,C3,0,53,53,53,0.0404981910796471,0.03748803476167607,0.038993112920661585,0.038993112920661585,26.552024841308594,1.6469345948624166,1.6488717615409982,3.419959783554077,0.0,0.0,0.0,0.09433962264100942,0.09433962264150944,0.09433962264150944,0.517324185248215,0.5471698113207547,0.49056603773584906
roi_C_layered,hard,C0,0,45,45,69,0.009989341235944485,0.01814833069541946,0.014068835965681972,0.014617178494682746,44.81156539916992,0.2297989383761093,0.13212392530381065,3.2918081283569336,0.0,0.0,0.0,0.04395604395554401,0.044444444444444446,0.043478260869565216,0.19512195121901965,0.2222222222222222,0.17391304347826086
roi_C_layered,hard,C1,0,45,45,69,0.052711970329797075,0.02292403699569601,0.03781800366274654,0.03761799301860624,51.48074722290039,0.40165690785518027,0.5773722891386361,3.386639356613159,0.0,0.0,0.0,0.0,0.0,0.0,0.01754385964864497,0.022222222222222223,0.014492753623188406
roi_C_layered,hard,C2,0,45,45,69,0.052711970329797075,0.02292403699569601,0.03781800366274654,0.03761799301860624,51.48074722290039,0.38465335280555013,0.5711308716532986,3.3778436183929443,0.0,0.0,0.0,0.0,0.0,0.0,0.01754385964864497,0.022222222222222223,0.014492753623188406
roi_C_layered,hard,C3,0,45,45,69,0.05281710074569726,0.020475221879876455,0.036646161312786855,0.036441777959402934,49.38664245605469,0.41106537587161274,0.5436039881878734,3.335766077041626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
roi_D_curved_v2,hard,C0,0,47,47,160,0.025788129545580678,0.034602249733602965,0.03019518963959182,0.0347549123782227,50.1574821472168,1.265022920680547,1.1887667680735328,3.4225285053253174,0.04571428571389283,0.0851063829787234,0.03125,0.15994531783964364,0.2765957446808511,0.1125,0.528040176969512,0.6808510638297872,0.43125
roi_D_curved_v2,hard,C1,0,47,47,160,0.035128399768726386,0.039924543899683966,0.037526471834205176,0.041182977447724284,61.657630920410156,1.2365255631092054,1.2643692071626844,3.2481822967529297,0.01932367149723354,0.0425531914893617,0.0125,0.11409068746910876,0.19148936170212766,0.08125,0.4267105854164982,0.5319148936170213,0.35625
