descriptor,group,n,spearman_normalized_gt,spearman_p,roc_auc_good1x,pr_auc_bad1x,roc_auc_good2x,pr_auc_bad2x,median_good1x,median_bad1x,median_good2x,median_bad2x,effect_size_good2x,spearman_fdr_q
dist_to_nearest_survivor,geometry,26880,-0.07483508706522299,1.077553214742865e-34,0.4807748293215815,0.8506388280606879,0.5367212994819437,0.4635558299231486,0.02578544742822847,0.02891412126661785,0.02989539721588905,0.026590165157915697,-0.019505551104091773,1.5879731585684328e-34
mean_dist_k_survivors,geometry,26880,-0.03850722562540884,2.6954225204465763e-10,0.4628083652593401,0.8554940129170787,0.5120929823749479,0.4848549793112644,0.03187468335023228,0.03809184483745777,0.03640708329783025,0.036421937969765325,-0.10060471729406922,3.281383937934963e-10
n_survivors_1x,geometry,26880,0.19253628894309038,8.518505451432738e-223,0.4630767682205209,0.8448112234114934,0.43562060975230976,0.5015062776452331,0.0,0.0,0.0,0.0,-0.28833424792686113,2.6502016960012963e-222
n_survivors_2x,geometry,26880,0.16988284328996675,3.4367124098428455e-173,0.47944120750494096,0.8459743318436821,0.4261084528679516,0.5342405284001989,0.0,0.0,0.0,0.0,-0.34084687229855554,9.622794747559968e-173
local_support_density,geometry,26880,0.19383770431962236,7.566405236170241e-226,0.4699322615208087,0.8643201359841002,0.41519141616399236,0.5926820626760866,0.0,0.0,0.0,0.0,-0.34093492884499055,2.6482418326595843e-225
dist_to_fitted_surface,geometry,26880,-0.0025549397748269457,0.6753135717342214,0.5036062419958834,0.8314964987587224,0.500092497799343,0.4642719502767148,0.0008179292781278491,0.0007996431086212397,0.0008072662749327719,0.0007981861126609147,-0.014254228894807522,0.7272607695599306
mls_residual,geometry,26880,-0.1423320235931405,1.205674410744916e-121,0.5138495918101004,0.8409804380322787,0.5900586035996948,0.4342920433796429,0.01741136983036995,0.016596386209130287,0.019479084759950638,0.011927549727261066,0.06938385571368816,2.596837192373665e-121
fitted_curvature,geometry,26880,-0.10531679809999613,3.677186964940442e-67,0.5297459085410877,0.8316357874074417,0.5534967014882468,0.42655088377065503,0.11366072297096252,0.10320258140563965,0.11224687099456787,0.0941414013504982,0.1679208359665776,5.732863288263671e-67
pca_eig_0,geometry,26880,-0.045551125692913745,7.916948100665515e-14,0.4515452845191289,0.85071949501211,0.5149540613911945,0.47165934139160315,4.2539955757092685e-05,5.474264617078006e-05,5.171882366994396e-05,5.1256571168778464e-05,-0.08793676007008543,1.0076115764483383e-13
pca_eig_1,geometry,26880,-0.01795501618461932,0.0032416014703770557,0.4345385225131699,0.8583344787472114,0.503156745116925,0.4797763479579502,0.00010550345905357972,0.00017847110575530678,0.00016228777531068772,0.00016998684441205114,-0.11038926247918109,0.003630593646822302
pca_eig_2,geometry,26880,0.0007921498439629719,0.896670934985706,0.43116165435143927,0.8616391379644689,0.4899426396869443,0.49424176535704273,0.00024155736900866032,0.00046971056144684553,0.00034658447839319706,0.0005062757409177721,-0.1285343955078874,0.896670934985706
normal_confidence,geometry,26880,0.10531602010442202,3.6854121138837886e-67,0.47025649438999473,0.8490558703542299,0.44650325660698154,0.5095436236662426,0.8863393068313599,0.8967974185943604,0.8877531290054321,0.90585857629776,-0.1679208364774975,5.732863288263671e-67
normal_agreement,geometry,26880,-0.11350322161681986,8.93608054003999e-78,0.4907355263492248,0.8260405806952843,0.5789301321797743,0.38787580908205477,0.6206529140472412,0.6217724084854126,0.696182131767273,0.5502476096153259,0.24793233998597297,1.563814094506998e-77
component_size,graph,26880,-0.2163458066023124,3.73476414480586e-282,0.6016546326858331,0.7903138199513412,0.6462295530765028,0.3724365832129085,284.0,184.0,228.0,126.0,0.448190779352931,1.493905657922344e-281
component_fraction,graph,26880,-0.2814044807718036,0.0,0.5791675151348885,0.8039250206609133,0.6552354081285344,0.3689961237867082,1.0,0.9968895800933126,1.0,0.9508928571428571,0.5816479576781045,0.0
component_boundary_support,graph,26880,-0.2163458066023124,3.73476414480586e-282,0.6016546326858331,0.7903138199513412,0.6462295530765028,0.3724365832129085,284.0,184.0,228.0,126.0,0.448190779352931,1.493905657922344e-281
component_area,graph,26880,-0.28801182511300666,0.0,0.534133349846289,0.8312348871654113,0.6619714800482079,0.40219498517347807,0.002105806488543749,0.0018629997503012419,0.002481990261003375,0.0013936683535575867,0.22763009065417034,0.0
dist_from_boundary,graph,26880,-0.05083867838823159,7.424763877062046e-17,0.4759407240815881,0.8556852854063965,0.526226042685843,0.48517410379108133,0.02578544742822847,0.02918951527756726,0.02989539721588905,0.0270023007652697,-0.10465646835179829,1.0110472007990364e-16
propagation_depth,graph,26880,-0.05082350922602584,7.582854005992774e-17,0.47593193142616924,0.855687343902829,0.5262198798907555,0.4851749522827294,2.4733379170744985,2.7998558147180654,2.867325316161203,2.58987736690871,-0.10466820019831154,1.0110472007990364e-16
semantic_confidence,semantic,26880,0.2703714757464767,0.0,0.45281121966515375,0.8335138583201616,0.3602713883756532,0.545378501825493,0.48543408513069153,0.5314273238182068,0.4785631000995636,0.6321291327476501,-0.4866396690984447,0.0
semantic_entropy,semantic,26880,-0.2766336973088061,0.0,0.5488662137281377,0.8024214033505025,0.6455391887250731,0.36269299046174275,1.5120567083358765,1.3886469602584839,1.5564725399017334,1.2306854724884033,0.4737609440806527,0.0
semantic_agreement,semantic,26880,0.15319976386686013,7.67271574688805e-141,0.502543406334906,0.8305747409040869,0.43259133056986443,0.48937477869857504,1.0,1.0,1.0,1.0,-0.28470278997952086,1.790300340940545e-140
