holdout_roi,method,policy,selected_rule,retain_fraction,retained_good_frac,pruned_bad_fraction,n_test_newborn
ramen_sample_001,C1,hard,mls_residual<=0.0500,1.0,1.0,0.0,57
ramen_sample_002,C1,hard,mls_residual<=0.0500,1.0,1.0,0.0,67
ramen_sample_003,C1,hard,mls_residual<=0.0500,0.5666666666666667,0.3898305084745763,0.03333333333333333,90
ramen_sample_004,C1,hard,mls_residual<=0.0500,0.9615384615384616,0.9565217391304348,0.0,26
ramen_sample_005,C1,hard,mls_residual<=0.0500,0.5454545454545454,0.53125,0.2840909090909091,88
ramen_sample_006,C1,hard,mls_residual<=0.0500,0.9879518072289156,0.9878048780487805,0.0,83
ramen_sample_007,C1,hard,mls_residual<=0.0500,0.6739130434782609,nan,0.32608695652173914,92
ramen_sample_008,C1,hard,mls_residual<=0.0500,0.6415094339622641,0.6363636363636364,0.2830188679245283,53
ramen_sample_009,C1,hard,mls_residual<=0.0500,0.9090909090909091,0.9298245614035088,0.03896103896103896,77
ramen_sample_010,C1,hard,mls_residual<=0.0500,1.0,1.0,0.0,112
ramen_sample_011,C1,hard,mls_residual<=0.0500,1.0,1.0,0.0,123
ramen_sample_012,C1,hard,mls_residual<=0.0500,1.0,1.0,0.0,133
ramen_sample_013,C1,hard,mls_residual<=0.0500,0.6395939086294417,nan,0.3604060913705584,197
ramen_sample_014,C1,hard,mls_residual<=0.0500,1.0,1.0,0.0,72
ramen_sample_015,C1,hard,mls_residual<=0.0500,1.0,1.0,0.0,94
ramen_sample_016,C1,hard,mls_residual<=0.0500,1.0,1.0,0.0,133
ramen_sample_017,C1,hard,mls_residual<=0.0500,1.0,1.0,0.0,114
ramen_sample_018,C1,hard,mls_residual<=0.0500,0.8888888888888888,0.875,0.0,117
ramen_sample_019,C1,hard,mls_residual<=0.0500,1.0,1.0,0.0,61
ramen_sample_020,C1,hard,mls_residual<=0.0500,0.9459459459459459,0.9705882352941176,0.02702702702702703,37
ramen_sample_021,C1,hard,mls_residual<=0.0500,0.9767441860465116,0.9473684210526315,0.011627906976744186,86
ramen_sample_022,C1,hard,mls_residual<=0.0500,1.0,nan,0.0,183
roi_B_junction,C1,hard,mls_residual<=0.0500,0.6792452830188679,0.75,0.24528301886792453,53
roi_C_layered,C1,hard,mls_residual<=0.0500,1.0,1.0,0.0,45
roi_D_curved_v2,C1,hard,mls_residual<=0.0500,0.3404255319148936,0.32,0.2978723404255319,47
ramen_sample_001,C3,hard,dist_boundary<=0.50,1.0,1.0,0.0,57
ramen_sample_002,C3,hard,dist_boundary<=0.50,1.0,1.0,0.0,67
ramen_sample_003,C3,hard,mls_residual<=0.0500,0.7,0.5434782608695652,0.06666666666666667,90
ramen_sample_004,C3,hard,dist_boundary<=0.50,1.0,1.0,0.0,26
ramen_sample_005,C3,hard,dist_boundary<=0.50,1.0,1.0,0.0,88
ramen_sample_006,C3,hard,dist_boundary<=0.50,1.0,1.0,0.0,83
ramen_sample_007,C3,hard,dist_boundary<=0.50,1.0,nan,0.0,92
ramen_sample_008,C3,hard,mls_residual<=0.0500,0.37735849056603776,0.375,0.24528301886792453,53
ramen_sample_009,C3,hard,mls_residual<=0.0500,0.7922077922077922,0.7142857142857143,0.1038961038961039,77
ramen_sample_010,C3,hard,dist_boundary<=0.50,1.0,1.0,0.0,112
ramen_sample_011,C3,hard,dist_boundary<=0.50,1.0,1.0,0.0,123
ramen_sample_012,C3,hard,dist_boundary<=0.50,1.0,1.0,0.0,133
ramen_sample_013,C3,hard,dist_boundary<=0.50,1.0,nan,0.0,197
ramen_sample_014,C3,hard,dist_boundary<=0.50,1.0,1.0,0.0,72
ramen_sample_015,C3,hard,dist_boundary<=0.50,1.0,1.0,0.0,94
ramen_sample_016,C3,hard,dist_boundary<=0.50,1.0,1.0,0.0,133
ramen_sample_017,C3,hard,dist_boundary<=0.50,1.0,1.0,0.0,114
ramen_sample_018,C3,hard,dist_boundary<=0.50,1.0,1.0,0.0,117
ramen_sample_019,C3,hard,dist_boundary<=0.50,1.0,1.0,0.0,61
ramen_sample_020,C3,hard,dist_boundary<=0.50,1.0,1.0,0.0,37
ramen_sample_021,C3,hard,dist_boundary<=0.50,1.0,1.0,0.0,86
ramen_sample_022,C3,hard,dist_boundary<=0.50,1.0,nan,0.0,183
roi_B_junction,C3,hard,dist_boundary<=0.50,1.0,1.0,0.0,53
roi_C_layered,C3,hard,dist_boundary<=0.50,1.0,nan,0.0,45
roi_D_curved_v2,C3,hard,mls_residual<=0.0500,0.3404255319148936,0.32,0.2978723404255319,47
ramen_sample_001,C1,soft,dist_boundary<=0.50,1.0,1.0,0.0,57
ramen_sample_002,C1,soft,dist_boundary<=0.50,1.0,1.0,nan,67
ramen_sample_003,C1,soft,mls_residual<=0.0500,0.24444444444444444,0.14545454545454545,0.23333333333333334,90
ramen_sample_004,C1,soft,dist_boundary<=0.50,1.0,1.0,0.0,26
ramen_sample_005,C1,soft,dist_boundary<=0.50,1.0,1.0,0.0,88
ramen_sample_006,C1,soft,dist_boundary<=0.50,1.0,1.0,nan,83
ramen_sample_007,C1,soft,dist_boundary<=0.50,1.0,nan,0.0,92
ramen_sample_008,C1,soft,mls_residual<=0.0500,0.4716981132075472,0.42857142857142855,0.0,53
ramen_sample_009,C1,soft,dist_boundary<=0.50,1.0,1.0,0.0,77
ramen_sample_010,C1,soft,dist_boundary<=0.50,1.0,1.0,0.0,112
ramen_sample_011,C1,soft,dist_boundary<=0.50,1.0,1.0,0.0,123
ramen_sample_012,C1,soft,dist_boundary<=0.50,1.0,1.0,0.0,133
ramen_sample_013,C1,soft,dist_boundary<=0.50,1.0,nan,0.0,197
ramen_sample_014,C1,soft,dist_boundary<=0.50,1.0,1.0,0.0,72
ramen_sample_015,C1,soft,dist_boundary<=0.50,1.0,1.0,0.0,94
ramen_sample_016,C1,soft,dist_boundary<=0.50,1.0,1.0,0.0,133
ramen_sample_017,C1,soft,dist_boundary<=0.50,1.0,1.0,0.0,114
ramen_sample_018,C1,soft,mls_residual<=0.0500,0.7350427350427351,0.7610619469026548,0.03418803418803419,117
ramen_sample_019,C1,soft,dist_boundary<=0.50,1.0,1.0,0.0,61
ramen_sample_020,C1,soft,dist_boundary<=0.50,1.0,1.0,0.0,37
ramen_sample_021,C1,soft,dist_boundary<=0.50,1.0,1.0,0.0,86
ramen_sample_022,C1,soft,dist_boundary<=0.50,1.0,nan,0.0,183
roi_B_junction,C1,soft,dist_boundary<=0.50,1.0,1.0,0.0,53
roi_C_layered,C1,soft,dist_boundary<=0.50,1.0,1.0,0.0,45
roi_D_curved_v2,C1,soft,mls_residual<=0.0500,0.2765957446808511,0.375,0.2978723404255319,47
ramen_sample_001,C3,soft,mls_residual<=0.0500,1.0,1.0,0.0,57
ramen_sample_002,C3,soft,mls_residual<=0.0500,1.0,1.0,0.0,67
ramen_sample_003,C3,soft,mls_residual<=0.0500,0.7888888888888889,0.6666666666666666,0.07777777777777778,90
ramen_sample_004,C3,soft,mls_residual<=0.0500,0.8846153846153846,0.8235294117647058,0.0,26
ramen_sample_005,C3,soft,mls_residual<=0.0500,0.7954545454545454,1.0,0.20454545454545456,88
ramen_sample_006,C3,soft,mls_residual<=0.0500,0.9759036144578314,0.9622641509433962,0.0,83
ramen_sample_007,C3,soft,mls_residual<=0.0500,0.8804347826086957,nan,0.11956521739130435,92
ramen_sample_008,C3,soft,mls_residual<=0.0500,0.39622641509433965,0.5333333333333333,0.33962264150943394,53
ramen_sample_009,C3,soft,mls_residual<=0.0500,0.8701298701298701,0.8571428571428571,0.06493506493506493,77
ramen_sample_010,C3,soft,mls_residual<=0.0500,1.0,1.0,0.0,112
ramen_sample_011,C3,soft,mls_residual<=0.0500,1.0,1.0,0.0,123
ramen_sample_012,C3,soft,mls_residual<=0.0500,1.0,1.0,0.0,133
ramen_sample_013,C3,soft,mls_residual<=0.0500,0.751269035532995,nan,0.24873096446700507,197
ramen_sample_014,C3,soft,mls_residual<=0.0500,1.0,1.0,0.0,72
ramen_sample_015,C3,soft,mls_residual<=0.0500,1.0,1.0,0.0,94
ramen_sample_016,C3,soft,mls_residual<=0.0500,1.0,1.0,0.0,133
ramen_sample_017,C3,soft,mls_residual<=0.0500,1.0,1.0,0.0,114
ramen_sample_018,C3,soft,mls_residual<=0.0500,0.8547008547008547,0.8,0.05982905982905983,117
ramen_sample_019,C3,soft,mls_residual<=0.0500,1.0,1.0,0.0,61
ramen_sample_020,C3,soft,mls_residual<=0.0500,0.972972972972973,0.9411764705882353,0.0,37
ramen_sample_021,C3,soft,mls_residual<=0.0500,1.0,1.0,0.0,86
