roi,known,radius,normalized_radius_units,n_cameras_see_hole,visible_support_fraction,boundary_support_count,norm_dist_center_support,support_density,projected_support_coverage,n_depth_modes,depth_variance,depth_discontinuity,depth_mode_entropy,depth_min_mode_sep,cross_view_depth_std,n_normal_clusters,normal_dispersion,normal_entropy,pca_curvature,graph_components_C0,graph_components_C1,graph_components_C3,largest_component_fraction,n_semantic_ids,semantic_entropy,semantic_purity,semantic_confidence,cross_modal_normal_sem_agreement,group,scene,center_x,center_y,center_z,camera_selected_ids
ramen_sample_001,False,0.04786205153877131,4.590820417278578,122,1.0,243.0,4.594206879149023,53093.62890527151,0.46471929594604783,3,1.3963627343100438,3.416499459804604,1.079226595415471,1.567258358427539,0.2637607056454537,8,38.92845354092588,2.072326583694641e-08,0.09366609219726793,1,10,85,0.20164609053497942,8,2.2104816892742837e-10,0.345679012345679,0.32045578956604004,0.5185185185185185,R2,ramen,0.8923490643501282,1.80888032913208,3.718146800994873,122;124;42;43
ramen_sample_002,False,0.041701710023693064,3.999331952921963,124,1.0,284.0,4.043050289598107,104920.20130776012,0.4419386131214356,3,1.394041628765292,3.4115319142981515,1.0915628336876246,1.578597641199154,0.28277750278039326,8,32.99679516462138,2.072326583694641e-08,0.10160065775807822,1,11,54,0.4964788732394366,7,2.486791900433569e-10,0.5915492957746479,0.36597418785095215,0.29577464788732394,R2,ramen,0.41552963852882385,1.586025357246399,3.5134048461914062,122;124;121;43
ramen_sample_003,False,0.13327462404249527,12.784108814157058,55,1.0,184.0,12.976122139842373,8235.683359931607,0.19819339931415866,3,1.6337491484789566,3.8146771201524983,0.9571172886932682,0.8598214421065711,0.23562003430572612,8,52.68369947093714,2.072326583694641e-08,0.07896854300537343,1,5,60,0.14673913043478262,9,1.9341714781149983e-10,0.30978260869565216,0.4581669867038727,0.6684782608695652,R2,ramen,-4.319498538970947,2.918576717376709,2.6959946155548096,70;121;122;120
ramen_sample_004,False,0.07498634774861401,7.192667004309673,21,1.0,49.0,7.337767429456224,9095.330430271975,0.3255988605688292,3,1.0261582105277192,2.507497676217005,0.9457775317082827,1.1026045974796634,0.0882804382776674,8,50.44021137520067,2.072326583694641e-08,0.1377483215294435,1,5,12,0.6326530612244898,4,2.486791900433569e-10,0.6530612244897959,0.5722874402999878,0.6326530612244898,R4,ramen,3.485766887664795,-1.6111522912979126,6.419590950012207,42;40;43;38
ramen_sample_005,False,0.1331865730264534,12.775502757081608,55,1.0,144.0,12.777323739682437,2974.8691170338216,0.3221151834324189,3,0.9836939630593888,2.408914059081109,1.007907369675842,1.1565827119086745,0.09659964866268599,8,40.830414534653755,2.072326583694641e-08,0.1420834108828517,1,5,31,0.3680555555555556,4,3.3157225339114254e-10,0.5486111111111112,0.485927939414978,0.4722222222222222,R2,ramen,2.024998903274536,8.232654571533203,-0.8100177645683289,125;132;126;116
ramen_sample_006,False,0.07496023653077433,7.190158322810353,81,1.0,185.0,7.19442011304166,16722.432256208696,0.4632930976999443,3,1.2232364665157764,2.986493516376929,0.9839545016895637,1.2834232703661153,0.1688793677007811,8,48.81323356485515,2.072326583694641e-08,0.07171295429720533,1,5,47,0.23243243243243245,8,2.2104816892742837e-10,0.3675675675675676,0.29374203085899353,0.5837837837837838,R2,ramen,2.728717565536499,3.6440844535827637,1.8140465021133423,124;123;122;125
ramen_sample_007,False,0.10149660446998814,9.735296079044744,1,0.3333333333333333,126.0,9.774464138463404,5348.326478164147,0.5390937826072305,3,0.02096754678606318,0.0498421376929542,0.5004024282710033,0.014188312226516286,0.0,7,27.845903997437784,2.072326583694641e-08,0.13879810234164924,1,6,8,0.9206349206349206,2,1.9341714781149983e-10,0.9841269841269841,0.7705814242362976,0.5555555555555556,R4,ramen,-4.211476802825928,2.5984256267547607,-1.8165249824523926,102;101;83;84
ramen_sample_008,False,0.19006946763604832,18.232196205626238,5,1.0,83.0,18.240507461748816,1105.8868106842538,0.45518748956852867,3,0.5083912690641623,1.1867311332276866,0.9887023204853307,0.2665177669515071,0.04018187354192324,8,58.15395796819276,2.072326583694641e-08,0.08248289007365829,1,5,27,0.21686746987951808,8,2.2104816892742837e-10,0.3493975903614458,0.3118516504764557,0.6506024096385542,R2,ramen,6.656081199645996,-0.12236840277910233,5.073674201965332,40;42;38;65
ramen_sample_009,False,0.1360512173303557,13.050393209362914,3,1.0,130.0,13.05768803817993,3349.0616821994304,0.021711207508675265,3,0.40223797924556776,0.9623065084388616,0.9499182325364199,0.2979760132036171,0.07388036796383965,8,52.83468665220495,2.072326583694641e-08,0.08958572386384815,1,7,28,0.5230769230769231,6,1.934171478114998e-10,0.6,0.5641450881958008,0.5615384615384615,R4,ramen,-3.7223269939422607,-1.3991808891296387,3.3401825428009033,45;48;27;29
ramen_sample_010,False,0.041701710023693064,3.9996055275227556,127,1.0,539.0,4.002136225455552,153798.6886639857,0.4248256883761218,3,1.1738280757012394,2.860036965887206,1.0772981751181392,1.1739579506681954,0.2611268484037662,8,63.40988779926413,2.072326583694641e-08,0.08845869007541571,1,15,261,0.10760667903525047,9,1.934171478114998e-10,0.31539888682745826,0.40859538316726685,0.6567717996289425,R2,ramen,0.5528318285942078,1.6652146577835083,2.3490402698516846,122;124;123;121
