roi,known,radius,normalized_radius_units,n_cameras_see_hole,visible_support_fraction,boundary_support_count,norm_dist_center_support,support_density,projected_support_coverage,n_depth_modes,depth_variance,depth_discontinuity,depth_mode_entropy,depth_min_mode_sep,cross_view_depth_std,n_normal_clusters,normal_dispersion,normal_entropy,pca_curvature,graph_components_C0,graph_components_C1,graph_components_C3,largest_component_fraction,n_semantic_ids,semantic_entropy,semantic_purity,semantic_confidence,cross_modal_normal_sem_agreement,group,scene,center_x,center_y,center_z,camera_selected_ids
teatime_sample_001,False,0.317193461537767,15.609039859335054,1,0.3333333333333333,245.0,15.612924301433095,275.2875242930578,0.29138635329929524,3,0.1748223398863463,0.4136227807263708,0.6262750925227492,0.11079069570231681,0.0,8,46.42022172301632,2.072326583694641e-08,0.09735589436794237,2,10,10,0.6653061224489796,1,1.9341714781149983e-10,1.0,0.8076133131980896,0.8938775510204081,R4,teatime,27.01377296447754,-4.365753650665283,2.5361783504486084,154;175;53;25
teatime_sample_002,False,0.1217038539361133,5.989051549275814,5,1.0,286.0,5.994240019627228,4517.57717629166,0.27765337608185553,3,1.4263976758878243,3.4730545651544547,0.718351568028518,1.4061252931814447,0.35647404667087823,8,57.22631618211026,2.072326583694641e-08,0.08413799280391593,1,6,18,0.6713286713286714,3,1.934171478114998e-10,0.7832167832167832,0.7411811947822571,0.6888111888111889,R2,teatime,2.687175750732422,-1.7768452167510986,-0.7236039638519287,29;26;36;37
teatime_sample_003,False,0.20828944077165257,10.249982911953945,11,1.0,93.0,10.29839535824751,732.1119557631612,0.08323044515354966,3,1.3061477375782706,3.1993123469517712,0.8348383287642431,1.5796815471910293,0.0422002361346297,7,31.478213953034967,2.072326583694641e-08,0.17225091851974256,1,5,11,0.7096774193548387,2,2.2104816892742837e-10,0.8709677419354839,0.48906072974205017,0.5161290322580645,R2,teatime,-10.29924488067627,-26.38539695739746,27.84031867980957,161;152;153;150
teatime_sample_004,False,0.08128409850306381,3.999605441122707,70,1.0,1142.0,4.000177087744493,43527.7296070484,0.3662030877906069,3,1.614051564310141,3.9173814181966047,0.91275339705718,1.4962805519758327,0.3892497108749824,8,57.65351434332858,2.072326583694641e-08,0.10423719037269581,1,28,323,0.15499124343257442,11,1.3815510557964273e-10,0.43782837127845886,0.5553673505783081,0.5359019264448336,R2,teatime,2.6203553676605225,0.4072078764438629,0.9644435048103333,43;102;39;44
teatime_sample_005,False,0.11055484233843188,5.440299864210567,2,0.6666666666666666,81.0,5.487933051530376,2351.9137488494875,0.19261111669829376,2,0.8178681636595826,1.6357363273191652,0.691482054956758,1.6357363273191652,0.05625206085739589,7,34.36796294444712,2.072326583694641e-08,0.059621662390859885,1,5,8,0.7777777777777778,3,1.934171478114998e-10,0.9135802469135802,0.4919901192188263,0.691358024691358,R4,teatime,12.381280899047852,-1.0428825616836548,-6.295172214508057,173;17;25;14
teatime_sample_006,False,0.20927357202346897,10.29820634578186,2,0.6666666666666666,123.0,10.321991884892716,590.1351254846802,0.24676260294501615,3,0.1958096573170001,0.46555306478746417,0.8542438101831803,0.13286829227333996,0.0024672498000099883,6,26.93550822407242,2.072326583694641e-08,0.12571283277140394,1,11,15,0.3821138211382114,2,2.2104816892742837e-10,0.6178861788617886,0.4835963547229767,0.34959349593495936,R4,teatime,23.96123695373535,-10.40971565246582,6.796710014343262,154;30;175;178
teatime_sample_007,False,0.1955575997631396,9.623440875132154,13,1.0,72.0,9.709786209320635,341.18013860725773,0.2645641635728017,3,1.3565911765281888,3.28649015664303,1.0318451641852495,1.218080252906752,0.06806146453497929,7,41.08558052734179,2.072326583694641e-08,0.07766325532461461,1,6,14,0.25,2,2.7631021115928547e-10,0.5833333333333334,0.441093772649765,0.5416666666666666,R2,teatime,-12.127091407775879,4.1863555908203125,-3.4206607341766357,112;110;111;109
teatime_sample_008,False,0.08128409850306381,3.9996825948853534,92,1.0,742.0,4.009743731502321,29559.026837727637,0.38607957939917187,3,1.2915358517809858,3.1590475515399308,1.060759586075811,1.432534730965461,0.27076932806711657,8,52.77831812187933,2.072326583694641e-08,0.11901235851508839,1,28,174,0.48921832884097033,7,2.486791900433569e-10,0.6428571428571429,0.5432347655296326,0.5970350404312669,R2,teatime,1.9954988956451416,2.3806681632995605,0.879055380821228,89;93;79;52
teatime_sample_009,False,0.2401709549227596,11.818983616249291,12,1.0,92.0,11.837947774043988,508.4296105176602,0.20524759302715803,3,1.0357599301294569,2.52813370034025,1.0976318990420824,1.0796790990017406,0.05944445589601115,7,39.77665078587736,2.072326583694641e-08,0.11066512153788252,2,9,10,0.5108695652173914,2,1.9341714781149983e-10,0.9782608695652174,0.4282311201095581,0.8478260869565217,R2,teatime,-8.25813102722168,7.423553943634033,-7.618218898773193,107;108;105;109
teatime_sample_010,False,0.16219662260842635,7.98163643587393,7,1.0,74.0,8.14774686691401,873.6867930612071,0.3731067911539497,3,1.1652846517432707,2.853557926999745,0.8250747972100394,1.3684453874853002,0.06205330888933804,7,31.92689721646166,2.072326583694641e-08,0.09219637294309183,3,7,7,0.40540540540540543,1,1.9341714781149983e-10,1.0,0.6339313983917236,0.5540540540540541,R2,teatime,12.921510696411133,1.8941881656646729,-1.7708847522735596,25;20;17;175
teatime_sample_011,False,0.2264065466447769,11.141702442832312,47,1.0,101.0,11.19543590175603,538.4529134154125,0.4364807714437341,3,1.7812077468492666,4.36078186618831,1.0500441176504702,2.058568089982993,0.268927181590379,8,61.00450530239762,2.072326583694641e-08,0.12317578612834816,1,5,20,0.27722772277227725,7,2.486791900433569e-10,0.6138613861386139,0.5905765295028687,0.5841584158415841,R2,teatime,3.964007616043091,3.1634881496429443,-0.08223554491996765,20;180;51;52
