benefit_metric,descriptor,n,pearson_p,pearson_q,pearson_r,spearman_p,spearman_q,spearman_r
delta_C1_chamfer,number_of_local_gaussians,25,0.02221301986791613,0.1947910973032645,0.4552442557152196,0.061538109613897066,0.3152963818419895,0.3792307692307692
delta_C1_equal_cardinality_chamfer,number_of_local_gaussians,25,0.27674552136609537,0.5839278693598201,0.22627957869939283,0.21505370359693768,0.5016286500536713,0.2569230769230769
delta_C1_fscore_2x,number_of_local_gaussians,25,0.6606533380559809,0.8629362748292329,0.0923418028595142,0.18740447288775836,0.4911289634299874,0.2725889043836577
delta_C1_gt_to_pred,number_of_local_gaussians,25,0.007946575528441122,0.14738155970367386,0.5183223934932251,0.05092417068462521,0.29727525663910204,0.3946153846153846
delta_C2_chamfer,number_of_local_gaussians,25,0.02221301986791613,0.1947910973032645,0.4552442557152196,0.061538109613897066,0.3152963818419895,0.3792307692307692
delta_C2_equal_cardinality_chamfer,number_of_local_gaussians,25,0.08722776482347629,0.35179398236567994,0.3490578779984704,0.1198372598471496,0.41398326129015317,0.3192307692307692
delta_C2_fscore_2x,number_of_local_gaussians,25,0.6606533380559809,0.8629362748292329,0.0923418028595142,0.18740447288775836,0.4911289634299874,0.2725889043836577
delta_C2_gt_to_pred,number_of_local_gaussians,25,0.007946575528441122,0.14738155970367386,0.5183223934932251,0.05092417068462521,0.29727525663910204,0.3946153846153846
delta_C3_chamfer,number_of_local_gaussians,25,0.0005082221224852544,0.0289686609816595,0.6443484283522949,0.017542529366882283,0.1666540289853817,0.4707692307692308
delta_C3_equal_cardinality_chamfer,number_of_local_gaussians,25,0.05175893469768949,0.29727525663910204,0.39331935034216253,0.04351056422815668,0.27606134118562076,0.40692307692307694
delta_C3_fscore_2x,number_of_local_gaussians,25,0.6436038358313824,0.8629362748292329,0.09729422121931328,0.086061531527653,0.35179398236567994,0.35026954181892556
delta_C3_gt_to_pred,number_of_local_gaussians,25,0.0018979017217858613,0.07867665319403207,0.590216384387546,0.013911171596886908,0.14738155970367386,0.48538461538461536
delta_C1_chamfer,local_median_spacing,25,0.3271638804387896,0.626834997815496,-0.2043522283365383,0.012620457324279867,0.14738155970367386,-0.49134286053304005
delta_C1_equal_cardinality_chamfer,local_median_spacing,25,0.4148517373972233,0.685407218308456,-0.1706109391588088,0.012461213157874903,0.14738155970367386,-0.4921123873310557
delta_C1_fscore_2x,local_median_spacing,25,0.6921031320478067,0.8689144978905348,-0.08332864260976101,0.7804267064181241,0.8953025573722733,-0.05871028134951585
delta_C1_gt_to_pred,local_median_spacing,25,0.012457472332552089,0.14738155970367386,-0.49213056173741265,5.470298719004496e-05,0.006236140539665125,-0.7171989757506552
delta_C2_chamfer,local_median_spacing,25,0.3271638804387896,0.626834997815496,-0.2043522283365383,0.012620457324279867,0.14738155970367386,-0.49134286053304005
delta_C2_equal_cardinality_chamfer,local_median_spacing,25,0.4612307937056787,0.7302820900339912,-0.15438110243532252,0.035576309440881346,0.26594749352527697,-0.4220854487116248
delta_C2_fscore_2x,local_median_spacing,25,0.6921031320478067,0.8689144978905348,-0.08332864260976101,0.7804267064181241,0.8953025573722733,-0.05871028134951585
delta_C2_gt_to_pred,local_median_spacing,25,0.012457472332552089,0.14738155970367386,-0.49213056173741265,5.470298719004496e-05,0.006236140539665125,-0.7171989757506552
delta_C3_chamfer,local_median_spacing,25,0.20926599513049993,0.5016286500536713,-0.2600839219973315,0.06733437553061004,0.32664335363785296,-0.3716814434415949
delta_C3_equal_cardinality_chamfer,local_median_spacing,25,0.2127968785537439,0.5016286500536713,-0.2581486983273868,0.05058162856026031,0.29727525663910204,-0.3951520107810745
delta_C3_fscore_2x,local_median_spacing,25,0.40117298717887795,0.685407218308456,-0.17558473264325686,0.21097377287130253,0.5016286500536713,-0.25914518671281617
delta_C3_gt_to_pred,local_median_spacing,25,0.013687514763784766,0.14738155970367386,-0.48638349216816384,0.0017110485647314864,0.07802381455175578,-0.5948442148661549
