match,method,metric,new_normal_affinity,new_value,old_normal_affinity,old_value,roi
OK,C0,symmetric_chamfer,hard,0.061933540538978066,hard,0.061933540538978066,roi_B_junction
OK,C0,pred_to_gt_mean,hard,0.04073945664226624,hard,0.04073945664226624,roi_B_junction
OK,C0,gt_to_pred_mean,hard,0.08312762443568988,hard,0.08312762443568988,roi_B_junction
OK,C0,equal_cardinality_chamfer,hard,0.061933540538978066,hard,0.061933540538978066,roi_B_junction
OK,C0,normal_angular_error,hard,19.503082275390625,hard,19.503082275390625,roi_B_junction
OK,C0,appearance_rmse,hard,1.6780332340387918,hard,1.6780332340387918,roi_B_junction
OK,C0,boundary_seam_error,hard,1.680804441212129,hard,1.680804441212129,roi_B_junction
OK,C0,N_spawn,hard,53,hard,53,roi_B_junction
OK,C0,N_budget,hard,53,hard,53,roi_B_junction
DIFF,C0,observable_local_spacing,hard,,hard,0.01677585877025532,roi_B_junction
OK,C1,symmetric_chamfer,hard,0.042514346165251765,hard,0.042514346165251765,roi_B_junction
OK,C1,pred_to_gt_mean,hard,0.045402941733106335,hard,0.045402941733106335,roi_B_junction
OK,C1,gt_to_pred_mean,hard,0.03962575059739719,hard,0.03962575059739719,roi_B_junction
OK,C1,equal_cardinality_chamfer,hard,0.042514346165251765,hard,0.042514346165251765,roi_B_junction
OK,C1,normal_angular_error,hard,29.71688461303711,hard,29.71688461303711,roi_B_junction
OK,C1,appearance_rmse,hard,1.6805650950995425,hard,1.6805650950995425,roi_B_junction
OK,C1,boundary_seam_error,hard,1.6827150749997157,hard,1.6827150749997157,roi_B_junction
OK,C1,N_spawn,hard,53,hard,53,roi_B_junction
OK,C1,N_budget,hard,53,hard,53,roi_B_junction
DIFF,C1,observable_local_spacing,hard,,hard,0.01677585877025532,roi_B_junction
OK,C2,symmetric_chamfer,hard,0.042514346165251765,hard,0.042514346165251765,roi_B_junction
OK,C2,pred_to_gt_mean,hard,0.045402941733106335,hard,0.045402941733106335,roi_B_junction
OK,C2,gt_to_pred_mean,hard,0.03962575059739719,hard,0.03962575059739719,roi_B_junction
OK,C2,equal_cardinality_chamfer,hard,0.042514346165251765,hard,0.042514346165251765,roi_B_junction
OK,C2,normal_angular_error,hard,29.71688461303711,hard,29.71688461303711,roi_B_junction
OK,C2,appearance_rmse,hard,1.6807671305137357,hard,1.6807671305137357,roi_B_junction
OK,C2,boundary_seam_error,hard,1.68291685230725,hard,1.68291685230725,roi_B_junction
OK,C2,N_spawn,hard,53,hard,53,roi_B_junction
OK,C2,N_budget,hard,53,hard,53,roi_B_junction
DIFF,C2,observable_local_spacing,hard,,hard,0.01677585877025532,roi_B_junction
OK,C3,symmetric_chamfer,hard,0.038993112920661585,hard,0.038993112920661585,roi_B_junction
OK,C3,pred_to_gt_mean,hard,0.0404981910796471,hard,0.0404981910796471,roi_B_junction
OK,C3,gt_to_pred_mean,hard,0.03748803476167607,hard,0.03748803476167607,roi_B_junction
OK,C3,equal_cardinality_chamfer,hard,0.038993112920661585,hard,0.038993112920661585,roi_B_junction
OK,C3,normal_angular_error,hard,26.552024841308594,hard,26.552024841308594,roi_B_junction
OK,C3,appearance_rmse,hard,1.6469345948624166,hard,1.6469345948624166,roi_B_junction
OK,C3,boundary_seam_error,hard,1.6488717615409982,hard,1.6488717615409982,roi_B_junction
OK,C3,N_spawn,hard,53,hard,53,roi_B_junction
OK,C3,N_budget,hard,53,hard,53,roi_B_junction
DIFF,C3,observable_local_spacing,hard,,hard,0.01677585877025532,roi_B_junction
OK,C0,symmetric_chamfer,hard,0.014068835965681972,soft,0.014068835965681972,roi_C_layered
OK,C0,pred_to_gt_mean,hard,0.009989341235944485,soft,0.009989341235944485,roi_C_layered
OK,C0,gt_to_pred_mean,hard,0.01814833069541946,soft,0.01814833069541946,roi_C_layered
DIFF,C0,equal_cardinality_chamfer,hard,0.014757940796467656,soft,0.014438682947349197,roi_C_layered
OK,C0,normal_angular_error,hard,44.81156539916992,soft,44.81156539916992,roi_C_layered
OK,C0,appearance_rmse,hard,0.2297989383761093,soft,0.2297989383761093,roi_C_layered
OK,C0,boundary_seam_error,hard,0.13212392530381065,soft,0.13212392530381065,roi_C_layered
OK,C0,N_spawn,hard,45,soft,45,roi_C_layered
OK,C0,N_budget,hard,45,soft,45,roi_C_layered
DIFF,C0,observable_local_spacing,hard,,soft,0.003800127218144841,roi_C_layered
DIFF,C1,symmetric_chamfer,hard,0.03781800366274654,soft,0.014068835965681972,roi_C_layered
DIFF,C1,pred_to_gt_mean,hard,0.052711970329797075,soft,0.009989341235944485,roi_C_layered
DIFF,C1,gt_to_pred_mean,hard,0.02292403699569601,soft,0.01814833069541946,roi_C_layered
DIFF,C1,equal_cardinality_chamfer,hard,0.038063048842935335,soft,0.014905879304356056,roi_C_layered
DIFF,C1,normal_angular_error,hard,51.48074722290039,soft,44.81156539916992,roi_C_layered
DIFF,C1,appearance_rmse,hard,0.40165690785518027,soft,0.23114243907161294,roi_C_layered
DIFF,C1,boundary_seam_error,hard,0.5773722891386361,soft,0.1336075438497344,roi_C_layered
OK,C1,N_spawn,hard,45,soft,45,roi_C_layered
